B: 	oké 
A: 	ja 
B: 	ja 
B: 	ja ik hebben dus een rood vierkant 
B: 	het zijn het plaat zeggen maar dat ja het lijken eigenlijk een soort van op een beker en dan steken er een 
B: 	pollepel soort van uit zeggen maar 
B: 	en dan hebben je aan de linkerkant ook zo'n staaf uitsteken en ook nog een rond er aan de achterkant 
A: 	ok zitten er iets aan de zijkant 
B: 	erbij zitten 
A: 	en er zitten er zijn maar één uitsteeksel zeggen maar aan de bovenkant 
B: 	ja 
A: 	ok 
B: 	en dan aan de rechterkant inderdaad zo'n een ding wat uitsteken 
B: 	ja een soort van 
B: 	ja 
A: 	ok dan gaan ik voor dertien 
A: 	deze hebben weer de cirkel aan de achterkant hebben weer zo'n lepeltje 
A: 	en aan de zijkant nog één ja niet echt een armpje want hij gaan niet zo maar rechts 
B: 	ja 
B: 	en dan daaronder ook nog een soort van 
B: 	ja 
B: 	oké dat zijn bij mij zijn dat O 
A: 	dat zijn acht 
B: 	nou hebben je weer die een met zeggen maar weer die aan de rechterkant weer zo'n pollepel zeggen maar die uitsteken 
B: 	aan de bovenkant 
B: 	en dan 
B: 	een bolle erachter 
B: 	je hebben zo'n met zo'n half rond erachter zeggen maar en dan 
B: 	ja 
B: 	ja 
A: 	dit zijn met de cirkel aan de achterkant lepeltje Bovenin een uitsteeksel aan de linkerkant 
A: 	ja dat zijn zeven 
A: 	ja dit zijn met die cirkel aan de achterkant die half cirkel met lepeltje erin en staafje aan de zijkant 
A: 	ja 
B: 	nee 
B: 	ja en die 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	dan hebben we weer die een met dat met dat rond zeggen maar aan de achterkant en dan 
B: 	rechts Bovenin die pollepel zeggen maar weer die uitsteken en 
B: 	ja 
B: 	oké 
