B: 	okee 
B: 	wat 
B: 	ja 
B: 	maar zijn dat de staaf met een rond eraan 
B: 	okee dat zijn k 
A: 	het lijken op één als je er een gezicht bij voorstellen hebben hij een soort staaf door zijn neus zullen ik zeggen 
A: 	met een cirkel eraan 
A: 	en een soort pluimpje op het hoofd 
A: 	aan de achterkant 
B: 	dit zijn de piercing neusvorm 
B: 	ja 
B: 	f 
B: 	de piercingneus 
A: 	ja 
A: 	ja dat zijn vijf 
B: 	m 
B: 	piercing 
A: 	deze hebben een een staaf door zijn neus 
A: 	en door zijn aardappelneus 
A: 	en een een veer op zijn hoofd 
A: 	ik kunnen hem niet vinden 
A: 	ja 
A: 	een parasolle 
A: 	ja die eraan hangen 
A: 	vier 
A: 	staaf door de neus 
A: 	ja ik zoeken hem 
A: 	ja vier 
