B: 	hopen ik 
B: 	ja 
B: 	ik zien het als R2D2 zo'n rond kop met twee van die voet links of armp hoe je het ook willen kijkgen eens naar mij zo dit zo die hand 
B: 	zo houden hij ze aan de beide zij van zijn lijf en zijn hoofd zijn langwerpig 
B: 	het zijn dus een kop 
B: 	met aan de linkerkant een dinge en aan de rechterkant een dinge , ja ik vinden het als twee armpjes eruit zien , hebben je enig idee wat ik dan bedoelen 
A: 	een rond plateaut een dienblad 
B: 	ja of die liggen horizontaal op hem 
A: 	niet 
B: 	precies ja 
A: 	ah 
A: 	het zijn dus een ander 
A: 	wachten één afzuigkap aan de linkerkant wat voor vorm 
A: 	ah okee 
A: 	ah 
A: 	met dat rechthoekje die er horizontaal bovenop liggen die dat 
A: 	ah die en dan één of ander gek staafje met een soort van 
A: 	soort van veger en blik en dan dat blik zo zo'n die zo'n staan 
A: 	daar lijken die op 
A: 	ah dan weten ik welk 
A: 	okee nummer vijf 
B: 	ja die zitten toch ja zo zien ik het een beetje zo toch 
B: 	zijn op gelijk hoogte van elkaar maar dan ander kant 
B: 	dat zijn P 
B: 	poppe met de armpjes 
B: 	de horizontaal balk op zijn kop 
B: 	ja 
A: 	dit zijn dat een figuur waarvan we niet weten wat er rechts zitten 
A: 	en dat we dat maar als veger en blik en dan dat blik hebben doen 
A: 	ja 
A: 	ja die liggen horizontaal erop en link één of ander kap 
A: 	ja 
A: 	kap ja 
B: 	K 
A: 	ah 
A: 	waar zijn je 
A: 	ja ik zijn hem ah ja 
A: 	ja inderdaad 
A: 	uhu 
A: 	ja kloppen 
A: 	ja nummer vijfteen 
B: 	poppe met twee armp 
B: 	en een paal op zijn kop 
A: 	dit zijn dat een gek figuur weer 
A: 	balk aan de bovenkant horizontaal het blik van veger en blik en afzuigkap link 
A: 	ja kloppen 
A: 	je weten welk het zijn 
B: 	N 
A: 	waar zijn hij 
A: 	ah ja 
A: 	nummer vijfteen 
A: 	ons stoffer en blik rechthoek horizontaal op de bovenkant en afzuigkap link 
