B: 	ja 
B: 	ja 
B: 	ja bij mij zijn dat F 
A: 	ja 
A: 	oké ik hebben het vak 
A: 	deze vinden ik het zijn zeggen maar ja het zijn ook weer een roerstaafje erin zeggen maar 
A: 	en ja ik noemen het even de neus daar zitten zeggen maar een één één één een een staaf doorheen horizontaal zijn een soort piercing noemen ik het eigenlijk 
A: 	ja dat zijn hem 
B: 	het zijn die met die neus met die stok erdoorheen 
B: 	ik noemen hem ook de neuspiercing 
B: 	je moeten eerst nog het ding zeggen toch 
B: 	ja 
B: 	vinden A 
A: 	ja ja 
A: 	ja die neuspiercing zeggen maar 
A: 	ja 
A: 	ja ja heel en dan ja oké 
A: 	helemaal goed 
A: 	dat zijn nummer vijf 
B: 	het zijn die neuspiercing 
B: 	H 
A: 	zijn met de neuspiercing 
A: 	één staaf één lepel zeggen maar 
A: 	ja 
A: 	ja nummer vijf 
B: 	dit zijn de neuspiercing 
A: 	oeh 
A: 	de neuspiercing met één met het schild aan de aan de aan de uitein van de 
A: 	Ah nummer vijftien 
