A: 	twee poo 
A: 	zestien 
B: 	deze zijn ook door een dienblad zakken maar dan een dienblad met pot 
B: 	en die zijn er best wel ver doorheen zakken 
B: 	die zitten boven bovenaan 
B: 	ja 
B: 	en linksboven zitten zo'n klein staart 
A: 	ja dat zijn het tafel met de twee poo 
B: 	en rechts zitten nog een blok 
A: 	erdoorheen 
A: 	achten 
A: 	klein tafel met twee poo 
B: 	klein linksboven heel klein kuifje 
B: 	p zijn het 
A: 	erdoorheen 
A: 	tafel twee pot 
A: 	vijfteen 
B: 	dit zijn die heel ver door de tafel zijn zakken met de tafelpot 
A: 	tafel met twee poo 
B: 	en links een klein uitstulpseldinge en rechts dat ding nog 
B: 	ja 
B: 	ja ik zoeken even waar die staan 
B: 	ja d 
B: 	dit zijn die heel ver door de tafel zijn zakken met poo 
B: 	en links een klein uitstulpsel 
B: 	ja 
B: 	even zoeken waar die zijn 
B: 	ja dat zijn j 
