B: 	oké het kop zitten in een soort van blauw vlak 
B: 	ja 
B: 	kloppen hebben ik ook 
A: 	ja 
A: 	ja oké dan zijn dat nummer zes voor mij 
B: 	als een soort van ballerina 
B: 	C 
B: 	ik hebben die een met die tutu 
B: 	ja 
B: 	J 
A: 	oké deze hebben twee heel klein cilindertjes bovenaan staan 
A: 	en één en een vierkant zeggen maar horizontaal dwars door het kop heen 
A: 	en inderdaad aan de linkerkant zitten één zitten een Lvormig ding 
A: 	yes 
A: 	oké 
A: 	even kijken 
A: 	en die de dat vierkant wat er dwars doorheen gaan zeggen maar 
A: 	dat zijn dertien 
B: 	ik hebben de ballerina 
B: 	de tutu 
B: 	ja de tutu 
B: 	dat zijn N 
A: 	oké dit zijn die een met de Lvormig ding aan de zijkant en de en het vierkant er dwars doorheen 
A: 	en die twee cilindert erbovenop 
A: 	oké 
A: 	yes dat zijn negen 
A: 	oké dit zijn de Lvormig linkerkant met de met de vierkant erdoorheen 
