A: 	ik noemen deze kaneelstaaf 
A: 	omdat die link hebben die een kaneelstaaf uit uit hoofd komen 
A: 	en boven het kaneelstaaf hebben je een soort van zo'n Batmanlogo schijnlicht 
A: 	en met dan 
A: 	ja 
A: 	en 
A: 	weten ik veel 
A: 	ja Rechts 
A: 	ja 
A: 	ah nou rechts naast zich dan 
A: 	oké 
A: 	negen 
A: 	yes 
A: 	ja ja ja 
A: 	welk zijn die 
A: 	M van Mieke 
A: 	ja Mieke weten ik veel M zeven 
B: 	ja 
B: 	even kijken 
B: 	hier ja ja ja kloppen en aan de ander kant veel zo'n helikopterplatform 
B: 	ja 
B: 	L 
B: 	oké nu hebben ik weer die met die Pacman en met die driehoek erop 
A: 	Batmanlogo kaneelstokje helikopterplatform aan de zijkant 
A: 	vijftien 
B: 	even kijken waar staan die ook alweer 
B: 	ja hier 
B: 	C 
A: 	oké 
A: 	O één 
B: 	die Pacman en die dat helikopterplatform 
A: 	die ik kaneelstaaf noemen bij mijn logo erboven die 
A: 	A drie 
A: 	yes 
B: 	A 
A: 	ja 
A: 	P dertien 
B: 	die Pacman en de helikopterplatform 
