B: 	ja ik zien hem 
B: 	k 
A: 	oké nou dit zijn een ding die hebben iets bovenop de kop een ja dat ook dat schuin aflooppen naar beneden maar het zijn geen driehoek 
A: 	en twee twee balk die uitsteken aan de rechterkant 
A: 	ja rechterkant 
A: 	ja 
A: 	precies 
A: 	ja 
B: 	okeeen deze hebben twee twee gelijkwaardig langwerpig hoek rechthoe aan de rechterkant 
B: 	of hoe heten dat 
B: 	en een soort van pyramide bovenop maar dat kop eraf 
B: 	ja ja 
B: 	met die neus 
B: 	ja waar zitten die 
B: 	waar zitten die waar zitten die ah daar ja 
B: 	g 
A: 	even kijken horen 
A: 	cilinder 
A: 	cilinder aan de rechterkant zeggen je 
A: 	ja ja ja 
A: 	en dan hebben hij wat 
A: 	mhm 
A: 	ja ik zitten even te kijken of zegmaar zijn het degeen die aan de linkerkant hebben hij nog zo'n helemaal onderin 
A: 	ja oké dan denken ik wel dat ik hem weten 
A: 	vijf 
A: 	ja dit zijn weer dit zijn weer zo'n gene met linksonder zo'n klein ja klein hoek 
A: 	en twee van die balk die eruit steken aan de rechterkant 
A: 	ja precies 
B: 	ik hebben die die pyamide met topje eraf aan de bovenkant en dan die twee twin towers aan de rechterkant 
B: 	ja 
B: 	J 
B: 	ja met de neus 
B: 	de twin towers aan de rechterkant en de pyramide met het kop eraf aan de bovenkant 
B: 	en de neus link 
A: 	ja 
A: 	dat zijn tien 
A: 	dit zijn weer met die afgevlakte driehoek zeggen maar daar bovenop 
A: 	en die twee balk aan de rechterkant 
A: 	ja 
A: 	waar zijn hij ? veertien 
A: 	wachten , cilinder aan de bovenkant ? afgevlakte cilinder 
A: 	dan zijn het een ander denken ik 
A: 	want 
A: 	die aan de rechterkant van die twee van die balk hebben 
A: 	oké ja want denken cilinder maar dat ja 
A: 	veertien 
