A: 	even kijken hoor ja dit lijken er een beetje op alsof er linksbof een kraantje zitten 
B: 	ja ja ja dan weten ik al welk het zijn 
B: 	met twee van die toren aan de zijkant 
B: 	ja oké dan zijn het M 
A: 	hij staan op een plateautje die krom staan 
A: 	en zo waar die dat plateau waar die op staan dat zitten ook rechtsmidid 
A: 	dus dat zijn volgens mij het enig die dat hebben 
A: 	waar die op waar die op leunlen dat zitten precies ook rechtsmidid alleen dan wel draaien 
A: 	met bovenop een één wat zijn het ? een een vierkant draaien met een met een balk erdoorheen 
A: 	ja waar die op waar die op leunlen 
A: 	ja 
A: 	ja 
B: 	en deze hebben die ruit aan de bovenkant met twee van die torent aan de zijkant 
B: 	en een dinge beneden eruit aan de zijkant eruit en aan de voorkant eruit 
A: 	oké 
A: 	ja 
A: 	met met iets erdoorheen ook nog 
A: 	bovenop 
A: 	ja dat zijn nummer negen 
B: 	ja ja ja 
B: 	dat 
B: 	ja dat zijn h 
A: 	ja hoe hebben we deze ook alweer 
A: 	de plateautje waar die op leunlen ja hij maken het figuur niet helemaal af maar het plateautje waar die op leunlen die zitten ook aan de rechterkant 
A: 	maar er zitten nog een balk voor 
A: 	en bovenop zitten een vierkant draaien met met wat erdoorheen 
B: 	ik hebben diegene met de ruit zeggen maar boven en met twee van die torent die erin gaan 
A: 	ja 
A: 	waar die ook het plateautje ook aan de rechterkant zitten toch 
A: 	ja dus dat zijn nummer elf 
B: 	oké 
B: 	ja zoeken ja dat zijn bij mij D 
B: 	ik hebben diegene met die ruit en die twee torent erin 
B: 	die erboven zitten en twee uitsteeksel 
A: 	ja dit zijn dat gek ding bovenop die twee torentje die tegen het vierkan aan steken 
A: 	het plateaut waar die op leunt zitten ook weer aan de rechterkant 
A: 	met een balkje nog ervoor 
A: 	ja ja 
A: 	ja dat zijn nummer veertien 
