B: 	ik hebben het rood 
B: 	ik vinden het wel een beetje lijken op een cocktail 
B: 	met een schijf citroen misschien een ja 
A: 	aan de bovenkant 
B: 	en dan zitten er een soort lepeltje boven 
B: 	en er zitten eigenlijk aan de zijkant dan een 
B: 	een handvat 
A: 	wachten een cilindervormig balk 
B: 	ja 
A: 	ja 
A: 	en er zijn ook aan de linkerkant zo'n rond ding wat uitsteken 
A: 	en bovenop zitten zo'n lijken op 
A: 	ja 
A: 	ja 
A: 	oké 
A: 	ja 
A: 	dan zijn het dertien 
A: 	deze hebben ja zo'n zo'n soort ding onderaan nog die niet zo heel ver uitsteken maar een beetje halfrond of zo 
A: 	en één zo'n ding bovenop 
A: 	ook afronden 
A: 	en er zitten nog zo'n rond schijf aan de achterkant 
A: 	en er steken nog een ander ding uit aan de linkerkant 
A: 	ja 
A: 	er zitten iets aan de onderkant en links steken iets uit 
A: 	maar dat ding staan echt op dat wat aan de onderkant zitten zeggen maar 
A: 	en dat wat link uitsteken zijn best wel rond 
A: 	er zitten iets aan de onderkant het lijken alsof dat of dat kop zeggen maar daar echt in staat 
A: 	ja 
A: 	ja 
A: 	en er zitten aan de achterkant nog zo'n rond schijf die je half zien 
B: 	ja 
B: 	dat zijn O 
A: 	ja 
A: 	ja 
A: 	ja oké dat zijn acht 
A: 	dit zijn die waar we toestraks zo lang over meedoen met dat ding aan de onderkant 
A: 	en dat flie bovenop 
A: 	ja 
A: 	ja 
A: 	en dat rond half rond 
A: 	ja 
B: 	dit zijn weer die soort cocktail zeggen maar 
B: 	met dat kannet eronder 
B: 	op dat 
B: 	volgens mij zijn het weer een nieuw ronde trouwens 
B: 	nou ja dus zeggen maar dan hebben je zo zitten stijgen er zo'n soort lepel uit en dan aan de zijkant zijn er aan de een kant zo'n ding 
B: 	ja zo'n soort balk en dan dan zijn er zo'n rond ja ananasschijfje citroenschijfje of zo 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ja dat zijn zeven 
A: 	dit zijn die waar we zo lang over meedoen met dat fliebel en 
A: 	ja 
A: 	Hoi 
B: 	cocktail waar zijn je 
B: 	ja 
B: 	ah C 
B: 	van cocktail 
B: 	de cocktail 
B: 	de cocktail C 
B: 	ja 
