A: 	ik hebben links aan de bovenkant een bol erop zitten 
A: 	en aan de rechterkant voorkomen een klein staafje uit aan de linkerkant een lang die naar je toe buigen 
A: 	ja 
A: 	vijf 
B: 	oké 
B: 	ja 
B: 	denken dat ik hem weten , hebben hij aan de voorkant ook een staaf 
B: 	ja 
B: 	ja precies 
B: 	ja 
B: 	en een balle erbovenop 
B: 	ja oké dan zijn het O 
A: 	ik hebben die bol bovenop en die staaf die naar je toe wijzen 
A: 	aan de linkerkant 
A: 	ja 
A: 	zestien 
B: 	deze hebben een balle op de bovenkant 
B: 	en een recht staaf aan de voorkant 
B: 	ja ja 
A: 	ik hebben de bol bovenop en dat ding waar naar je toe wijzen 
A: 	ja 
A: 	drie 
B: 	ah ja korfbal 
B: 	ja ja dat zijn L 
B: 	dit zijn die korfbal 
B: 	bal bovenop staaf 
B: 	ja 
B: 	G 
B: 	dit zijn de korfbal 
