A: 	even kijken 
A: 	ja hoe beschrijven ik ja ik beschrijven het als een vijzel maar dat dan hebben je zo'n aan de bovenkant hebben je zo'n ovaal 
A: 	staaf zeggen maar aan de zijkant hebben je ook zo'n zelfde ovaal staaf het zijn dezelfde vorm 
A: 	ja precies en aan de achterkant nog een gek slange 
A: 	ja 
B: 	een soort blokkentoren 
B: 	oké 
B: 	dan zijn het E 
A: 	even kijken rechtsvoor de verrekijker hoe hebben we hem net omschrijven 
A: 	hebben ik die niet als Pinokkio of zo noemen of 
A: 	met aan de rechterkant twee van die blok of wat 
A: 	of 
A: 	linksonder of 
A: 	met dat aan de bovenkant dat spitsere stuk wat plat lopen 
A: 	ja ja ja 
A: 	boven en Linksvoor 
A: 	oké nu voelen ik me echt even heel dom 
A: 	en die hebben ik omschrijven 
A: 	die 
A: 	ja koekoek ik zien hem 
A: 	ja 
A: 	ja ik hebben hem 
A: 	oké laten we er ook een naam aan geven want ze komen allemaal zes keer voor dus dat zijn misschien ook handig 
A: 	ja ik 
A: 	Piet Piraat oké ik noemen hem vijzel dan weten ik vijzel zijn Piet Piraat ja 
A: 	nou oké vijzel zijn Piet Piraat 
A: 	oké dat zijn 
A: 	ja dat zijn elf 
B: 	dit zijn die twee waarvan jij zeggen met die joysticks 
B: 	twee van die joysticks één boven één links en dan aan de rechterkant een blok een Blokkendoos 
A: 	vijzel hebben we hem uiteindelijk noemen weten je nog welk 
A: 	oké 
B: 	ja dat zijn J 
A: 	de vijzel waar staan die ? 
B: 	dit zijn joystick boven joystick link 
B: 	blokkentoren rechts 
A: 	de vijzel 
B: 	de joystick 
B: 	B 
A: 	de vijzel 
B: 	joystick boven joystick link 
