A: 	hebben hij aan de achterkant ook zo'n zo'n cirkelt 
A: 	ok ja dan zijn het dertien 
A: 	ok nu moeten ik op geel klikken toch 
B: 	oké ik hebben het vierkan 
B: 	ik hebben eigenlijk al poppet of afbeelding hebben ik eigenlijk een beetje gebruiken alsof het gezicht zijn 
B: 	dus waar het rood vierkantje nu omheen staat zijn voor mij de Pinokkio zonder arm 
B: 	het zijn een nou ja blauw kop zeggen maar 
B: 	met naar link kijken 
B: 	met een lang 
B: 	voor mij naar link 
B: 	je hebben namelijk ook naar rechts kijken en dat noemen ik dan de ding met met arm ja de Pinokkio met arm en je hebben Pinokkio zonder arm 
B: 	het beeld of de afbeelding hebben aan de linkerkant een rond vlak 
B: 	en op het hoofd zeggen maar een soort van haar zitten 
B: 	je hebben er dus twee die op elkaar lijken en het zijn degeen dus zonder arm 
B: 	voor mij dan 
B: 	er zijn maar één haart zitten erop 
B: 	ja 
A: 	duidelijk 
A: 	ja deze doen me een beetje denken aan een aan een een cocktailglas of zo omdat je hebben gewoon 
A: 	ja beetje die glasvorm en dan hebben je een schijf aan de achterkant die citroen soort citroen en dan een dinge er ook in 
A: 	ja ja die pinoccio ja precies 
A: 	bij mij vier 
A: 	o 
A: 	pinoccio 
A: 	ja zijn achten 
A: 	ok 
B: 	ja 
B: 	pinokkio zonder arm 
B: 	hij kijken naar link 
B: 	ja 
B: 	ja dan met een wel een uitstulpsel als een neus toch 
B: 	je hebben een twee variant daarvan die met veel veel 
B: 	ja 
B: 	ja 
B: 	je hebben er daar nog één van en die lijken er heel erg op maar die kijken de ander kant op toch 
B: 	je hebben twee die een beetje op hetzelfde lijken 
B: 	de Pinokkio 
B: 	één met arm en één zonder arm 
B: 	oké dan 
B: 	eruit 
B: 	ja 
B: 	aan de zijkant aan de achterkant hè ? ja 
B: 	dan gaan het om O 
B: 	nou dit zijn het jou normaal theekop 
B: 	met blok eronder en een rond aan de 
B: 	ja precies en dan één zo'n klein roerstaafje er 
A: 	dit zijn pinoccio cocktail 
A: 	ja zijn veertien bij mij 
A: 	zijn zeven bij mij 
B: 	dat zijn dan nummer C 
A: 	dit zijn pinoccio cocktail 
A: 	ja bij mij zeven 
B: 	dit zijn het normaal theekop 
B: 	worden C 
B: 	gelukkig ik zijn er klaar mee 
B: 	nee ik krijgen vannacht nachtmerrie 
B: 	ik hopen niet veel dat we die MRI in hoeven 
B: 	Hoi 
B: 	ja wel goed 
B: 	vallen een paar keer vallen die eraf 
