B: 	denken ik ook 
B: 	zijn dat wat ik een beetje op een olifant vinden lijken met ook van die driehoeken erbovenop en dan 
B: 	nou misschien lijken het 
B: 	ja dat zijn het wel 
B: 	nou ja 
B: 	nou het lijken niet op een olifant ik denken eerst een kat zeggen maar met zo'n 
B: 	het zijn hem in ieder geval 
A: 	deze zijn ook wel uniek 
A: 	hij hebben er zijn er zijn eigenlijk maar twee die die die zo'n staaf onder zich hebben 
A: 	zeggen maar 
A: 	en dan zijn het niet die die trofee niet die beker zeggen maar 
A: 	dus het zijn die ander met met ook een heel raar hoed zeggen maar op van van van ruit zeggen maar twee ruit met staf eraan 
B: 	het zijn die met de dinge aan de onderkant waarvan ik vinden dat het een olifant zijn maar wat bij nad inzien niet op een olifant lijken 
B: 	ja hier hebben die een stok 
B: 	als je het interpreteren als een mens 
B: 	waar zijn die 
B: 	ja H 
A: 	ja 
A: 	ja ja 
A: 	ik snapen die ook ik weten niet hoe ik hem moeten beschrijven ik weten alleen zitten ik zo te denken misschien een zeepaard of zo dat die hier zo raar maar ik ik noemen het eigenlijk het raar hoedje of zo 
A: 	met de ruit 
A: 	gewichthefding leuk 
A: 	dat zijn nummer negen bij mij 
A: 	gewichthefding 
B: 	het zijn die olifant 
B: 	wat ik een olifant vinden 
B: 	D 
A: 	ik hebben de de de de de die die twee ruit 
A: 	met met het gewichtheffen 
A: 	ja 
B: 	het zijn de olifant die zitten bij mij 
A: 	dat zijn wel erg 
A: 	ja 
A: 	ja nummer elf 
A: 	oké 
A: 	de de de drie twee ruit 
A: 	met het gewich 
A: 	ah 
A: 	nummer veertien 
