B: 	mijne hebben een plaa ertegenaan en een soort ja champignon of zo erop 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	deze zijn weer met dat plaat ertegenaan en die paddenstoel erop 
A: 	hij hebben oog 
A: 	ja ja ja ja ja ik zien hem een soort van spijker wat er op zijn hoofd zitten en dan 
A: 	ja 
A: 	dan zijn het numero twee 
B: 	dat zijn bij mij D 
A: 	dit zijn jou robot 
A: 	met die oog en dat spijker op het hoofd en die plaat aan één kant 
B: 	met die paddenstoel 
A: 	jou robot ik gaan hem even opzoeken weer 
A: 	dat zijn numero negen 
B: 	B 
A: 	je robot 
A: 	ik zijn 
A: 	dat zijn numero één 
A: 	de robot 
