B: 	de er zitten een soort van haak aan de linkerkant 
B: 	en er steken twee dinge bovenuit 
B: 	en er zitten een vierkant schijf doorheen 
A: 	hebben die zo'n horizontaal veld 
A: 	ja 
A: 	ja ja ja en twee twee klein punt die hetzelfde eruitzien boven op zijn hoofd 
A: 	ja 
A: 	ja dat zijn nummer zes 
B: 	ik zien het ook als een glijbaan 
B: 	C 
B: 	bij mij zijn weer met de glijbaan 
B: 	dan weten je denken ik welk ik bedoelen 
A: 	dit zijn één met weer zo'n horizontaal veld erdoorheen twee dinget bovenop een armpje en 
A: 	nog een armpje 
A: 	ja 
A: 	ja ik ook 
B: 	ja J 
A: 	ja ja 
A: 	nummer dertien 
A: 	ik hebben die ballerina of robotding 
A: 	J 
B: 	dit zijn de glijbaan 
B: 	ja 
B: 	waar zijn die 
B: 	N 
A: 	nummer negen 
A: 	ik hebben de robot ballerina 
