B: 	deze hebben ook weer zo'n soort plaat maar dan veel bovenaan als een soort tafel 
B: 	ja 
B: 	ja dat zijn bij mij P 
A: 	zeggen het nog eens 
A: 	ja 
A: 	ja op zijn achterhoofd 
A: 	oké 
A: 	ah ik zien hem 
A: 	en dan met zo'n raar klein staart aan de achterkant 
A: 	ja 
A: 	ja oké 
A: 	ja ja ja ja ja 
A: 	ja ik zien hem nu 
A: 	het zijn numero zestien 
B: 	deze zijn die tafel weer 
A: 	dit zijn jou dienblad 
A: 	of deze wachten even het zijn jou dienblad 
A: 	nee het zijn een soort van volgens mij deze niet 
A: 	het zijn een soort van ja ik vinden het een soort van kop wat in een tafel zitten 
B: 	dat zijn N 
A: 	met zo'n bak erop 
A: 	ja 
A: 	vinden het een soort van 
A: 	ja zo'n klein dinge aan de achterkant ja 
A: 	ja toch wel 
B: 	bij mij ook 
B: 	dit zijn die met die tafel 
A: 	even kijken welk zijn dat ook al eens weer 
A: 	zijn dat met dat plank en dat met die met die 
A: 	ja ja 
A: 	dat zijn numero veertien 
A: 	ja 
A: 	numero veertien 
B: 	D 
A: 	jou serveerster 
A: 	dat zijn numero tien 
A: 	jou jou serveerder jou jou dienblad 
