A: 	dit plaat zijn eigenlijk een soort van gieter moeten ik eigenlijk aan denken 
A: 	hij hebben aan beide kant langwerpig uitsteeksel aan de rechterkant iets lang dan aan de linkerkant 
A: 	en dan aan de bovenkant zitten er nog een soort van schuin dakje met een ja een poo naar beneden wat er eigenlijk als een soort van handvat 
B: 	ja 
B: 	zitten er ook één zitten er ook een kegelvorm op de het kop 
A: 	zullen kunnen zien 
A: 	ja 
B: 	dus er zitten niks op het kop zelf 
B: 	oké 
B: 	oké 
B: 	het vierkant 
B: 	zijn het veel een soort van pylonvormig ding dat er zo uit steken 
B: 	nee 
B: 	welk hebben we dan ? staan er een soort van lampenkap op 
B: 	op het kop 
B: 	zijn het een soort van plank met twee van die of één of een bank een beetje die vorm 
B: 	en een soort van omgekeerd lampenkap erop 
B: 	op die plank 
B: 	en dan het kop eraan 
B: 	zijn dat hem 
B: 	oké 
B: 	en voor de rest geen hij het oppervlakte van het kop zijn leeg dus 
B: 	niks op niks op 
B: 	alleen maar uitsteeksel 
B: 	oké 
B: 	van achter het kop 
B: 	zijn het K 
B: 	zijn het een soort van springplankachtig 
B: 	lijken wel 
B: 	die zitten achter het kop 
B: 	ja 
B: 	ja ik zien hem 
B: 	ik zien hem 
B: 	nou dit zijn weer het beker met die raar spling met de raar springplank en die twee uitsteeksel met die bolal erop 
B: 	die 
B: 	de springplank 
A: 	ja nummer negen 
A: 	dit zijn de gieter 
B: 	staan die dit keer 
B: 	even speuren 
B: 	F 
A: 	ja nummer drie 
B: 	het zijn weer die een met de springplank en de bollet 
B: 	en de het uitsteeksel met de bollet 
A: 	de gieter 
B: 	oké 
B: 	springplank 
B: 	L 
A: 	nummer vijf 
B: 	het zijn de springplank weer 
B: 	met de knop 
