B: 	oké deze hebben drie bollet uitsteeksel aan allebei de kant 
B: 	en er zitten een vlak onder 
B: 	ja 
A: 	met zo'n vierkant waar die op staan 
A: 	ja oké ja 
A: 	dat zijn vijf bij mij 
B: 	ja 
B: 	oké 
B: 	dat zijn J 
A: 	dit zijn waarvan jij zeggen dat die het veel symmetrisch zijn 
A: 	met die met die drie ruit aan ieder kant 
B: 	oké ik hebben die die met die drie boll aan de zijkant aan allebei de kant 
B: 	ja 
B: 	oké 
B: 	ja 
B: 	dat zijn P 
A: 	dat zijn elf 
B: 	dat zijn staan ze op dezelfde plek 
B: 	oké ik hebben die met die drie gelijk kra aan de buitenkant 
B: 	ja 
A: 	dit zijn die symmetrisch 
B: 	ja 
B: 	oké 
B: 	dat zijn L 
A: 	dat zijn negen 
A: 	dit zijn de symmetrisch 
