B: 	ja een soort doosje of of cakedoos of zoiets in die richting ja ja 
B: 	oké letter E 
A: 	je hebben een soort handvat bovenop en aan de linkerkant hebben die hetzelfde handvat 
A: 	rechts hebben die blok die groot worden 
A: 	bijna alsof je een lepel in het kop hebben steken en die zitten dan ook link 
A: 	ja 
A: 	zitten er nog één 
A: 	ja 
B: 	deze hebben jij net voor mij doen het zijn een beker 
B: 	aan de achterkant komen nog een beetje zo'n wormp uit of zo 
B: 	aan de voorkant komen die dos erin steken vliegen 
B: 	en hij hebben precies in het midden aan de bovenkant nog een zoiets zitten een een een staafje zitten 
B: 	en aan de voorkant hebben die ook nog een staafje erin zitten of een cirkel 
B: 	ja 
A: 	nee dat lijken er niet op 
A: 	ja link hebben die dan dezelfde lepelding 
A: 	die 
A: 	ja precies dat zijn elf voor mij 
B: 	die 
B: 	kunnen je nog een keer uitleggen 
B: 	ja 
B: 	ja 
B: 	ja ja en staart 
B: 	oké ja 
B: 	worden het letter J 
A: 	dit zijn degeen met de lepel bovenin en dezelfde lepel aan de zijkant en dan de vierkant die groot worden 
B: 	deze zijn vervelend hij hebben een staart een soort van wormp wat uit hem komen en dan van die gek handvaten dus één hier en één boven hem 
B: 	en er komen zo'n dozenvierkan in 
A: 	ja 
A: 	ik moeten hem even zoeken 
A: 	ja dat zijn negen voor mij 
A: 	dit zijn die met de lepel bovenin en dezelfde lepel links 
B: 	ja 
B: 	ja ja 
B: 	letter B 
A: 	ja 
A: 	dat zijn vier voor mij 
B: 	hij hebben dat stom staart en hij hebben een handvat op en een handvat links en hij hebben van die dos die in hem steken 
B: 	die vierkant 
