A: 	ja 
A: 	ja ik weten wel welk je bedoelen dan vijf voor mij 
A: 	ok o dan moeten ik ja 
B: 	ik noemen dit de gek professor met die gek staaf aan de zijkant met een plateau eronder 
B: 	groot ronde 
B: 	ja die heel gek staaf 
A: 	ok dit zijn die een met dat plateau en die feestslinger 
A: 	bij mij tien 
A: 	ja 
A: 	ja zijn elf bij mij 
B: 	ja 
B: 	met die gek ja 
B: 	dan gaan het om J 
A: 	dit zijn die dat plateau met die slinger 
A: 	zestien 
A: 	o jij moeten klikken 
B: 	dit gaan om de professor 
B: 	met die gek ding uit zijn oor 
A: 	o ja negen bij mij 
B: 	ja 
B: 	dat worden P 
A: 	dit zijn dat plateaut met die slinger 
A: 	ja elf bij mij 
B: 	de professor 
B: 	ja dan gaan het om L 
