A: 	oké nu hebben ik een rood vierkant 
A: 	er zitten een soort bol op de voorkant 
A: 	en daar zitten een uitsteeksel doorheen 
A: 	met een met zo'n rond 
B: 	iets erbovenuit 
A: 	ja ja 
A: 	en één dinge bovenop 
A: 	ja 
B: 	teken van een voet 
B: 	ja 
B: 	één zo'n streepje erboven dat zijn eigenlijk ook aan de zijkant hetzelfde 
B: 	hebben die zo hebben het zeggen maar zo'n kuifje erboven 
B: 	ja 
B: 	en zijn het dan zo ja zo'n eigenlijk dat het net lijken of dat er een neus zijn met een neuspiercing 
B: 	ja oké 
B: 	ja 
B: 	oké ja 
B: 	dan hebben ik hem 
B: 	F 
A: 	ja 
A: 	ja dan zijn het vijf 
A: 	ik hebben die met die dat fliep bovenop en zo'n bol aan de voorkant waar iets doorheen steken 
B: 	en dit zijn weer die met dat kuifje en dan met die neus met zo'n ding erdoorheen 
B: 	ja 
A: 	ja 
A: 	ja dat zijn vijf 
A: 	ik hebben die met die uitstekend bol en met dat ding erdoorheen 
A: 	en met dat fliebel bovenop 
B: 	de neuspiercing dat zijn A 
B: 	de neuspiercing 
A: 	ja dat zijn vijftien 
B: 	waar zijn 
B: 	even kijken waar daar 
B: 	H 
B: 	de neuspiercing 
