A: 	want dat kunnen ook niet want de vorig zijn ook niet 
A: 	oké dit zijn driehoek op het hoofd 
A: 	raar neus 
A: 	ja en aan de linkerkant een soort van kogel naast het hoofd 
A: 	ja ja die 
A: 	vijftien 
B: 	dat zijn een driehoek op zijn kop 
B: 	en aan de zijkant aan de linkerkant zien je daar een beetje zo'n 
B: 	ja een kogel 
B: 	ja 
B: 	J 
A: 	met de kogel aan de zijkant 
A: 	oké ja zo ja oké 
A: 	welk 
A: 	nou weer welk letter 
A: 	H zes 
B: 	dit zijn die met die piramide boven op zijn kop 
B: 	ja 
A: 	driehoek op driehoek op het hoofd kogelen aan de zijkant de raar neus 
A: 	ja zestien 
A: 	zestien 
B: 	ja 
B: 	E 
A: 	kogel aan de zijkant 
A: 	A tien 
B: 	die met de driehoek bovenop en de kogel 
B: 	aan de zijkant 
A: 	hoe heten dat ding 
A: 	kogel aan de zijkant van het hoofd en driehoek bovenop 
A: 	ja dertien 
A: 	ik weten niet veel wat het woord driehoek betekenen 
A: 	K tien 
B: 	die kogel en de driehoek Bovenin 
