A: 	bij jou zo'n bolle 
A: 	bedoelen je zo'n bolle 
A: 	ja 
A: 	die twee 
A: 	ja 
A: 	ja veertien 
B: 	er zitten zeggen maar weer een balonne in soort van balonne met een 
B: 	pilaar er langs boven en aan de voorkant zitten een bol en link zitten nog een soort van goo 
B: 	ja soort van ja driehoekje inderdaad 
A: 	ik hebben degeen met de bolletjesneus en de twee antenne 
A: 	ja 
B: 	de voorkant zo'n bolle zegmaar die echt dan ja ok dat zijn N 
A: 	ja negen 
B: 	zegmaar met dat bollet vooraan links dat soort van goo dat driehoekje en dan links ballonne eruit en een blok eruit boven 
A: 	dit zijn degeen met de neus zonder piercing met twee antenne kegel bovenop 
A: 	oké 
A: 	ja 
A: 	even kijken de in de piercing 
A: 	ja vijf 
B: 	G 
A: 	dit zijn degeen met de neus en twee antenne 
B: 	die met dat bollet vooraan gleufje link ballonnetje er uit en blok er uit aan de bovenkant 
B: 	J 
