A: 	ja 
A: 	dat zijn nummer veertien hier 
B: 	ok dit zijn één die ik eigenlijk in mijn hoofd omschreef als Eineus 
B: 	ja precies dit zijn inderdaad inderdaad het precies dezelfde eigenlijk maar dan zonder die piercing er doorheen en zo'n soort kegel omgekeerd op zijn hoofd 
B: 	ok dan hebben we daar dezelfde 
B: 	ja ja ja ja precies 
A: 	ik hebben de koffiemok met twee verschillend koffielepel 
A: 	ja zo hebben ik dat maar bedenken eigenlijk 
A: 	één gewoon rechthoek 
A: 	en één veel met twee soort van rond 
A: 	en aan de linkerkant zitten een driehoekig handvat en aan de rechterkant een een bol rond 
B: 	even kijken zonder neuspiercing a ja met die kegel op zijn hoofd en dat soort driehoekje aan de zijkant ja 
A: 	ja 
A: 	als je daarop let twee verschillend lepelt 
B: 	o N 
A: 	ja het zijn een soort van uitstekend driehoek inderdaad op link 
A: 	en op rechts eigenlijk een beetje zo'n soort van rond neus waar je in zullen kunnen knijpen 
A: 	maar eigenlijk vooral als je op die stok let of die twee staaf die daaruit steken zijn er één recht omhoog en één een beetje naar linksbof en die hebben zeggen maar een beetje ronder vorm 
A: 	en die recht omhooggaat zijn eigenlijk een soort van staafdiagram 
A: 	ja 
B: 	indiaan zonder piercing 
B: 	dus de Eineus 
B: 	nou het zullen wel goed zijn 
A: 	zijn dat die mok met die staafdiagram 
A: 	die ja 
A: 	oké 
A: 	nummer negen zijn dat 
B: 	even kijken ja met die kegel op zijn hoofd of ja met die 
B: 	vulpen ja vinden ik een goed G 
B: 	indiaan zonder piercing vul op zijn hoofd 
A: 	hetzelfde 
A: 	dit zijn dat kop waar één staafdiagram uit komen 
A: 	en links een veel rond koffielepel 
A: 	oké 
A: 	en link zitten nog zo'n uitstekend driehoekstaafje 
A: 	ja nummer vijf 
B: 	J 
A: 	dit zijn de mok met een staafdiagram die eruit komen en op link die ronder theelepel 
A: 	op rechts 
A: 	ja 
A: 	oké 
