A: 	o die wokkel dinge ja 
A: 	ja nee ja met dat platform en die wokkel en die dat rond ding er voor op 
A: 	ja jajaja ok 
A: 	ja nou vijf 
B: 	dat gaan best wel smooth 
B: 	ja deze uitzien er heel anders uit dan de rest vinden ik zelf 
B: 	dit zijn dat kop wat zeggen maar op een plaa staan met twee van die geribbeld oort zeggen maar 
B: 	ja 
B: 	ja 
A: 	ok dat zijn die een met die kronkel arm 
A: 	met dat op dat platform 
A: 	zeggen maar met die beetje kristalle 
A: 	ja wokkel inderdaad 
A: 	ja precies 
B: 	ja 
B: 	ja als je zo doen dan weten ik het wel ja 
B: 	ja beetje wel ja 
B: 	dat zijn J 
A: 	die wokkeloor dinge ja 
A: 	ja ik weten het al ja elf 
B: 	oké nu hebben ik met die Pippi Langkousdingen 
A: 	nou die wokkeloren 
A: 	wokkel ding 
A: 	ja 
B: 	die Pippi Langkous dat zijn bij mij P 
B: 	van Pippi 
A: 	nice negen 
B: 	oké nu hebben ik die Pippi Langkous 
A: 	wokkel meneer 
B: 	dat zijn L 
