B: 	ja het lijken wel of dit ding twee van die oog hebben 
B: 	zeggen maar die die blok die steeds groot worden en dan bovenop nog een soort paddenstoel of ik weten niet wat het precies zijn 
A: 	en daarvoor zo'n vierkant plaat 
A: 	ja 
A: 	dat zijn bij mij nummer twee 
B: 	en die twee oog die een beetje op een ja dat zijn dan en dan hebben je nog die plaat aan de zijkant ja dat zijn dan G 
B: 	dit zijn weer die een met die paddenstoel bovenop en dat plak kaas of zo of weten ik veel wat aan de zijkant 
B: 	ja met die met die blok ja 
A: 	ik hebben nu de een mat met die antenne en dat vierkant of ja die plaat ervoor zeggen maar en die twee vierkant uitstekend ding 
A: 	en die antenne erop 
A: 	ja 
A: 	nummer negen bij mij 
B: 	ja 
B: 	ja dat zijn dan D 
A: 	ik hebben nu die een met die antenne erop die plaat ervoor en die vierkant aan de linkerkant 
B: 	ja dit zijn die met die paddenstoel bovenop en dat cheddar plak aan de zijkant en die blok die steeds groot worden 
B: 	ja ja dat zijn B 
A: 	ja 
A: 	nummer één zijn dat bij mij 
A: 	ik hebben die met die antenne staan bij mij onderin een beetje in het midden 
A: 	met zo'n vierkant plaat er voor en die vierkant die groot worden 
