A: 	om ja dit zijn er één dat zijn een kop met komen een soort van bolle boven 
A: 	maar ook aan de zijkant twee dezelfde een soort van rond bollet en er zitten ook nog aan de 
A: 	rechterkant zitten er zo'n vierkant wat telkens een klein vierkant worden 
A: 	ja 
B: 	ja 
B: 	en dat vierkant ding zitten aan de rechterkant toch 
B: 	oké 
B: 	dat zijn bij mij E 
A: 	even kijken hij hebben één van die vierkanut aan de rechterkant zijn het 
A: 	die vierkant die klein worden dan weer één achter één aan de zijkant en zo'n floebel 
A: 	ja 
A: 	elf 
A: 	dit zijn diegene met 
A: 	aan de rechterkant een vierkant die telkens klein worden aan de achterkant hebben die nog iets en hij hebben zowel aan de linkerkant als de bovenkant hebben die hetzelfde zo'n zo'n bolle zo'n 
A: 	ja 
B: 	deze hebben zo'n rond pluim aan de bovenkant 
B: 	en dan dezelfde maar dan links van het kop 
B: 	en dan daarachter een soort van staart en dan aan de rechtervoorkant die kubus die zo steeds klein worden naar het kop toe 
A: 	ja 
A: 	ja precies 
A: 	ja ja dat zijn negen 
A: 	dit zijn degeen met aan de rechterkant hebben je die vierkant die klein worden 
A: 	sprie boven sprie aan de zijkant en nog een stengel naar achter 
B: 	ja 
B: 	ja 
B: 	dat zijn J 
A: 	even kijken welk ? nog een keer 
A: 	ja en en met dat 
A: 	ja 
A: 	vier 
B: 	dit zijn die met dat kubus die klein worden aan de rechterkant 
B: 	en dan bovenop ja pluim kegelding en links ook en daarachter nog een staart 
B: 	ja 
B: 	ja 
B: 	dat zijn B 
B: 	dat zijn die met die pluimp boven en link 
B: 	en dan kubus die klein worden er rechts 
B: 	ja 
