A: 	ja nu hebben ik dat ding wat zo raar uitsteekt die zo uit het niets eigenlijk komen een ja ik zien het als een soort toren 
A: 	die en hij hebben zo'n zo'n rond plateau 
A: 	aan één kant 
A: 	ja 
B: 	ja 
B: 	zo'n heel lang 
B: 	aan de zijkant 
B: 	oké dat zijn L 
A: 	ja 
A: 	zeven 
B: 	deze hebben jij net dat zijn zeggen maar hoe noemen je dat 
B: 	met die hengel 
B: 	met die haak die je zeggen maar kunnen doen want dat zijn dat kommet 
B: 	ja drukper 
B: 	ja dat zijn hem 
A: 	ik hebben weer de Eiffeltoren 
B: 	dat zijn C 
B: 	dit zijn die met die hengel 
B: 	die 
B: 	ja dat drukper 
A: 	oké ja oké 
A: 	dat zijn nummer één 
B: 	dat zijn A 
B: 	dit zijn met die hendel 
A: 	de Eiffeltoren 
A: 	ja 
A: 	dat zijn nummer dertien 
