B: 	aan de bovenkant zitten twee heel klein staaf 
B: 	lijken een beetje op de twin Towers 
B: 	die nog niet omgevallen zijn 
B: 	en aan de in het doormidd zitten een soort van platformp 
A: 	even kijken 
A: 	ja en dan met zo'n plaat door de midden 
A: 	ja oké 
A: 	ja dat zijn zes 
B: 	ja 
B: 	ja ja ik ja 
B: 	waar zitten die ja daar 
B: 	à 
B: 	die schijf die door het midden gaan en dan zo'n twee van die klein dinge bovenop 
A: 	oké dit zijn zegmaar weer met zo'n plaat in door het midden van de kop heen 
A: 	en twee van die cilindert erboven zegmaar 
B: 	waar zitten die 
B: 	nee ? ja 
B: 	met dat staafje dat naar je toekomen toch 
B: 	dat 
B: 	ja glijbaan ja 
B: 	k 
A: 	ja met die twee uitsteeksel erboven 
A: 	ja dat zijn twaalf 
A: 	deze zijn met zo'n plaat er doorheen , gewoon door de heel kop heen 
A: 	zo'n plaat en twee van die dinget bovenaan 
B: 	ik hebben de de Mini twin Towers bovenop en dan die plaat die erdoorheen gaan 
B: 	en de glijbaan 
B: 	ja 
B: 	k 
A: 	ja dat zijn zestien 
A: 	dit zijn met het blad er doorheen 
