A: 	oké 
A: 	ja dan weten ik welk je bedoelen 
A: 	dat zijn nummer zes 
B: 	dan kloppen nou 
B: 	dit zijn een kop weer 
B: 	en er zitten een een vierkantje omheen hebben je het kop en dan zitten het vierkan eromheen er staan twee klein cilindertje op 
B: 	een soort van Lvormig uitsteeksel 
B: 	en een ja nog een cilindervormig uitsteeksel 
B: 	nice 
A: 	dit zijn het zwaaien poppe met zijn lang neus 
A: 	en het rok dat hij aan hebben 
A: 	ja 
B: 	ja 
B: 	C 
B: 	nou dit zijn weer het kop met het Lvormig uitsteeksel en het vierkan in het midden 
A: 	ja dertien 
B: 	waar die doorheen gaan die twee cilindervormig uitsteekselt 
B: 	die 
B: 	ja die ja 
B: 	ja 
A: 	dit zijn 
A: 	net tot je bij de rand aankomen 
A: 	dat zijn ook lullig als we alles nou verkeerd beschrijven 
A: 	oké 
A: 	ja dit zijn het zwaaien poppe met zijn lang neus en zijn rok 
B: 	oké ja dat zijn J 
A: 	nummer negen 
B: 	het zijn weer die een met het ja met het vierkan in het midden 
B: 	die die ja die twee cilindert erop en het Lvormig uitsteeksel links 
A: 	zwaaien man met zijn lang neus 
A: 	zijn rok 
B: 	lvormig 
B: 	ja 
B: 	dat zijn N 
