A: 	hebben die een nee laten maar 
A: 	wachten even hebben die een driehoekje naar rechts 
A: 	naar links bedoelen ik 
A: 	oké 
A: 	ja 
A: 	ja en dan en dan twee ding bovenop 
A: 	link 
A: 	met en dat zijn een driehoekje 
A: 	oké 
A: 	bij mij zijn dat veertien welk bij jou 
A: 	P 
A: 	P veertien 
B: 	oké 
B: 	hij hebben weer hij hebben een echt zeggen maar echt zo'n bol neus 
B: 	of ja het zitten veel aan de zijkant 
B: 	en bovenop zijn een een een rechthoek 
B: 	en één iets ander dat lijken een beetje op zo'n bowling kegel 
B: 	ja 
B: 	ja 
A: 	degeen die wij zo raar vinden met het ijstheestaafje maar dan zonder het ijstheestaafje 
A: 	dus alleen met dat bollet 
A: 	en met dat driehoekje aan de zijkant 
A: 	drie 
A: 	ja 
B: 	Hoezo 
B: 	ja 
B: 	kegel 
B: 	ja en dan en dan zo'n bol weer 
B: 	ja 
B: 	N 
A: 	neus driehoek uit het oor wat 
A: 	je bedoelen met één recht staafje en één raar uitkomst 
A: 	oké 
A: 	negen welk zijn het bij jou 
A: 	G negen 
B: 	weer die bol zeggen maar 
B: 	en dan bovenop een blok en een kegel 
B: 	ja 
A: 	ijstheestamper maar dan zonder het ijstheestampert 
A: 	driehoek aan de zijkant 
A: 	dertien 
A: 	nee dat zijn 
A: 	O vijf 
B: 	ja 
B: 	G 
B: 	weer die rond neus en dan met die met zo een waterdruppel en die balk 
B: 	bovenop 
A: 	ijstheestamper zonder ijstheestamper 
A: 	dus met die driehoekig ding aan de zijkant 
A: 	negen 
B: 	ja even zoeken 
B: 	ik weten precies hoe die eruitzieten maar ik kunnen hem hier staan die 
B: 	J 
