B: 	ha ik hebben het rood vierkant 
B: 	hij lijken een beetje op pinokkio 
B: 	met zo'n 
B: 	ja 
B: 	nee die ander 
B: 	met een soort lepel in als het een kop zijn hebben die een lepel aan de rechterkant 
B: 	ja 
B: 	oké volgens mij moeten je op de knop drukken dan 
A: 	ja 
A: 	ja even kijken hoor 
A: 	even kijken ja en aan de rechterkant zo'n kegeltje laten maar zeggen bovenop 
A: 	en aan de linkerkant steken ook nog iets uit 
A: 	oké 
A: 	ja 
A: 	nummer dertien 
A: 	ik hebben die een met een soort van half cirkel bovenop 
A: 	en weer zo'n uitsteeksel rechts bovenop 
A: 	ja 
B: 	ah 
B: 	ja ja ja 
B: 	O 
A: 	ja 
A: 	ja 
A: 	zijn bij mij nummer achten 
B: 	pinokkio noemen ik deze 
A: 	ik hebben diegene weer met dat half cirkelt bovenop 
A: 	en het staat op dat vierkant 
A: 	of op dat ja rechthoekig ding laten maar zeggen 
A: 	ja link bovenop staan die half cirkel 
B: 	pinokkio 
B: 	C 
A: 	nummer zeven 
B: 	pinokkio 
B: 	met zo'n rond dinge 
A: 	ik hebben die een met die half cirkel bovenop 
A: 	ja 
B: 	C 
A: 	dat zijn hem 
B: 	dat zijn hem 
B: 	Hallo 
