B: 	ja 
B: 	soort van hengel uitsteeksel 
B: 	p 
A: 	even kijken zo'n beker met een soort ei wat erboven drijven 
A: 	met twee armp aan de zijkant 
A: 	en een soort staafje aan de voorzijde 
A: 	iets veel aan de rechterkant inderdaad 
B: 	deze hebben we al hebben er zitten bovenop zitten er een bal 
B: 	aan beide kant komen er twee soort van handvaten uit 
B: 	en voorop zijn er een lang rechthoekig ding 
B: 	ja 
B: 	ja 
B: 	J 
B: 	deze hebben een bal bovenop 
B: 	en twee handvat soort van die eruit komen 
B: 	en er zitten een staaf voorop 
A: 	okee dus dat aan de bovenzijde van de beker hangen er een soort ei 
A: 	en die hebben laten maar zeggen dat bekertje twee hand en een soort balk aan de voorzijde 
A: 	ja okee 
A: 	dan zijn het nummer twaalf 
B: 	ja J 
B: 	dit zijn die met die bal bovenop twee handvaten aan de aan de beide kant en een staaf voorop 
A: 	dat zijn een ei wat boven zitten 
A: 	boven het beker 
A: 	met twee armp zowel links en rechts en een soort balkje aan de voorzijde 
A: 	even kijken welk zijn het ook alweer 
A: 	een ei boven 
A: 	en nog een soort blok wat rechtsvoor zitten 
A: 	ja waarop die lijken vastgeplakt te zitten 
A: 	dus 
A: 	okee korfbal noemen jij die 
A: 	okee dan zijn het nummer elf 
A: 	een ei erboven met twee hand aan beide zijd en met een staafje rechtsvoor 
A: 	dus beker zitten vast aan het staafje en de lucht 
A: 	ja die vergeet ik telkens 
A: 	die ja 
A: 	nummer tien 
