A: 	ja en aan de zijkant die twee ding 
A: 	ja 
A: 	dat zijn twee 
B: 	okeeen deze zijn wel grappig 
B: 	bij deze hebben aan de linkerkant hebben hij ja het lijken een beetje twee oog van legoblokjes 
B: 	ja een spijker als Antenne en dan rechts aan de voorkant nog een een plaat 
B: 	ja joh ja 
A: 	deze hebben een vierkant aan de voorkant 
A: 	met zo'n met die paddestoel bovenop zeggen maar 
A: 	of dat noemen je een bel toch 
A: 	ja 
A: 	aan de voorkant ja 
A: 	dat zijn zestien 
B: 	aha ja 
B: 	ja ja ja 
B: 	dat zijn omdraaien natuurlijk ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	nou dan gaan ik voor m 
B: 	dit zijn degeen met de legoblokjesog en een spijker aan de bovenkant en één ja zo'n zo'n ja 
A: 	dit zijn met het vierkant aan de voorkant en die paddestoel erbovenop 
A: 	ja met die twee aflopen ding daar aan de zijkant 
A: 	dertien 
B: 	de springstok ja ja 
B: 	en een spijker Antennetje 
B: 	dat zijn d 
A: 	met die paddestoel bovenop 
A: 	en dat vierkant aan de voorkant 
B: 	oog aan de linkerkant een spijker bovenin en een een scherm aan de rechterkant 
B: 	jeej dat zijn h 
