A: 	ja 
A: 	te kijken horen 
A: 	nog één keer want dan hebben ik het even goed want volgens mij hebben ik die een 
A: 	natuurlijk het zijn een één kom of een schaal wat het ook precies zijn 
A: 	en wat zitten daarboven zeggen je 
A: 	ja 
A: 	oeh die zien ik dan niet 
A: 	ja een beetje inderdaad een neus aan de ander kant zeggen maar zo'n een beetje een een blokachtig die 
A: 	ja en boven dat lopen een beetje zo 
A: 	en ja ik zien het 
A: 	veertien 
B: 	oké 
B: 	hij hebben weer hij hebben een echt zeggen maar echt zo'n bol neus 
B: 	of ja het zitten veel aan de zijkant 
B: 	en bovenop zijn een een een rechthoek 
B: 	en één iets ander dat lijken een beetje op zo'n bowling kegel 
B: 	ja 
B: 	ja 
A: 	dit zijn die met die groot toeterneus die Ronde toeterneus een beetje 
A: 	en die hebben boven hebben die twee uitsteeksel één recht blok en één zo'n kringelding 
A: 	ja aan de zijkant ook nog 
B: 	Hoezo 
B: 	ja 
B: 	kegel 
B: 	ja en dan en dan zo'n bol weer 
B: 	ja 
B: 	N 
A: 	even kijken neus met die twee ding 
A: 	met die twee verschillend ding één zo'n een rechthoekachtig een een lat 
A: 	en de ander zijn veel een weten ik veel een toverstaf of iets wat het ook precies zijn iets gek 
A: 	ja 
A: 	en dan steken er nog iets uit aan de zijkant 
A: 	ja 
A: 	negen 
B: 	weer die bol zeggen maar 
B: 	en dan bovenop een blok en een kegel 
B: 	ja 
A: 	dit zijn ik weten eerlijk zeggen niet veel hoe we hem omschrijven 
A: 	met die lijken wel een groot neus 
A: 	zeggen maar een beetje een eierneus 
A: 	en dan twee dinget die eruit steken 
B: 	ja 
B: 	G 
A: 	sorry nog één keer welk zijn het 
A: 	de 
A: 	gewoon neus 
A: 	ja ik zitten even te kijken waar zijn die 
A: 	ja klpen ja 
A: 	die die eierneus bedoelen je toch 
A: 	ja 
A: 	vijf 
A: 	ook omdat ik hem niet kunnen vinden zijn het even 
A: 	ik denken misschien hebben ze hem verstoppen dat ze één eruit hebben laten 
B: 	weer die rond neus en dan met die met zo een waterdruppel en die balk 
B: 	bovenop 
B: 	ja even zoeken 
B: 	ik weten precies hoe die eruitzieten maar ik kunnen hem hier staan die 
B: 	J 
A: 	dit zijn de de groot neus de eierneus 
