A: 	dit zijn een weer zo'n koffiemok waar een lepeltje recht omhoogsteekken 
A: 	en er lijken aan de achterkant een soort van theetuitje te zitten van een theekan 
A: 	en er zitten een soort hengsel aan met vierkant blok die groot zijn en steeds klein worden 
B: 	hebben hij een soort slurfje aan de onderkant ? en aan de 
B: 	o 
B: 	o er zitten een soort soort soort ovalig ding zitten een vierkant er zitten een vierkant ding naar beetje rechts toe en dan en een soort plat rond o 
B: 	misschien niet 
B: 	zitten er een ei op 
B: 	hebben hij een punthoofd 
B: 	ok maar hebben hij hebben hij een soort soort vierkant dat er aan de bovenkant zo ingestoken zijn 
B: 	o 
B: 	een een soort trapezium vormig ei 
B: 	vier 
B: 	even kijken zitten er een soort isteken aan de zijkant 
B: 	ja en die hebben een soort vierkant een soort vierkant spijker aan de rechterkant en zitten een soort slap armp 
B: 	ok ja ik hebben deze een in mijn hoofd beetje omschrijven als een soort robot die met zijn rug naar je toe staan ja 
B: 	ok dat zijn E 
A: 	die 
A: 	en dat zijn die waar het het ja ik noemen het maar een koffielepeltje maar recht omhoogsteekken en er lijken een soort van tuitje aan de achterkant te zitten 
A: 	ja 
A: 	ja kloppen 
A: 	ja dat zijn nummer elf hier 
B: 	ok hoe omschrijven we deze deze vinden jij heel erg moeilijk ik omschrijven die als een robo 
B: 	er zitten hij hebben een soort slap armpje aan de achterkant zitten en vier ding waarvan de die aan de bovenkant en aan de voor voorkant hetzelfde zijn 
B: 	de met het met met het soort ei bovenop 
B: 	o je bedoelen je bedoelen dat dat wat welk ik telkens robotje noemen of nou ja inderdaad met zo'n slap armpje achterop 
B: 	o jajaja J 
A: 	dit zijn zeggen maar de koffiemok waar één lepeltje aan de bovenkant uit komen en aan de rechterkant een handvat zitten met blok waarbij die van groot naar klein lopen 
A: 	aan de linkerkant dezelfde lepel zitten als die er recht uit steekt en zo'n tui aan de achterkant 
A: 	nee 
A: 	één 
A: 	alleen aan de rechterkant zitten dat handvat met die groot naar klein 
A: 	ja 
B: 	het moeilijk ding 
B: 	met slapp armp 
A: 	ja ja met die theetuit 
A: 	ja nummer negen 
B: 	ja moeilijk te omschrijven B 
A: 	dit zijn de mok waar aan de rechterkant die van groot naar klein lopen blok zitten 
A: 	daarboven steken een lepeltje uit die daar eigenlijk ook link uit lijken te steken en zo'n tui 
A: 	oké 
B: 	moeilijk robo 
A: 	ja 
A: 	nummer vier 
