A: 	oké dus je hebben dat bakkie en dan bovenop en aan de zijkant zitten de twee zelfde soort 
A: 	vormig ovaal 
A: 	en een beetje maar aan de achterkant zitten nog een klein raar koomarp 
A: 	en aan de ander kant daarvan zeggen maar zitten een soort vierkant allemaal blok naast elkaar 
A: 	ja alsof je het gestapeld hebben maar dan zeggen maar zijwaarts 
B: 	recht omhoog 
B: 	steeds ja ja ja ja ja 
B: 	dus ze er zitten zeggen maar waar zijn die 
B: 	ja ik zitten zijn hem even aan het zoeken 
B: 	ja ik hebben hem 
B: 	ja ja ja dat zijn bij mij E ja E 
B: 	elf E 
B: 	deegroller ? oké ja 
B: 	oké deze dit zijn deegroller 
B: 	F bij mij 
A: 	ja 
A: 	ja dat zijn de twee zelfde vormp 
A: 	ja 
A: 	nummer elf 
B: 	even kijken 
B: 	ja J en bij jou 
B: 	J drie 
A: 	dit zijn die een raar met die twee dezelfde vorm uitstulpsels een soort druppelachtig vormp 
A: 	en aan de achterkant zitten nog dat staart en aan de voorkant zitten weer die vierkant tegen elkaar aan zeggen maar de enig drukken 
A: 	een soort komme 
A: 	en dan aan de voorkant of ja dus een beetje hier die richting 
A: 	hebben je dus die vierkant die er zo in steken zijn 
A: 	en dan aan de zijkant en aan de bovenkant dezelfde vorm zo'n soort druppel een soort handva 
A: 	en nog dat dinge aan de achterkant 
B: 	dit zijn de deegroller 
B: 	H 
A: 	ja 
A: 	yes 
A: 	nummer negen 
B: 	ja even kijken 
B: 	B twee 
B: 	deze dit zijn die met de verrekijker maar dan met één ding de deegroller 
B: 	ja 
B: 	E 
B: 	deegroller 
A: 	dit zijn die raar met het staart aan de achterkant en dan zeggen maar daartegenover die vierkant die erin steken worden 
A: 	en dan die twee gelijkvormig hendel 
A: 	zijn ik 
A: 	ja maar ja 
A: 	nummer vier 
