B: 	oké 
B: 	dit zijn met het tafel aan de voorkant 
B: 	het plat lijken op een plat vlak met twee poo 
B: 	met zo'n bak erop 
B: 	met die krullet aan de zijkant 
B: 	of niet 
B: 	dat tafel ja 
B: 	oké dat zijn bij mij P 
A: 	hebben die een soort een soort piramideachtig op de bovenkant 
A: 	dus de 
A: 	een soort dienblad 
A: 	dienblad met twee schuin poo eronder 
A: 	oké en dan bijstaan daar nog een soort bakblik op 
A: 	ja en aan de achterkant een soort haakje omhoog 
A: 	oké ja 
A: 	dat zijn nummer zestien 
B: 	dit zijn het tafel met het piramidestuk erop of zo 
B: 	en aan de achterkant nog een een kronkel 
B: 	dus dat tafel met die twee 
B: 	met die twee poo ja 
A: 	het vierkant dienblad met de poo en de bakblik erop 
A: 	en dienblad staan vrij hoog aan het koffiekopje 
A: 	ja 
A: 	haak aan de achterkant 
A: 	ja 
B: 	ja dat zijn N 
B: 	het tafel met de twee poo 
A: 	dienblad 
A: 	ja 
A: 	nummer veertien 
B: 	dat zijn D 
A: 	dienblad 
A: 	aan de bovenkant met twee poo met het bakblik erop 
A: 	wat wat voor dienblad ? sorry 
A: 	het Ronde 
A: 	een een bakblik 
A: 	ja 
A: 	dienblad bakblik 
A: 	nummer tien 
A: 	koffiekopje met hoog dienblad met poo 
A: 	Bakblik erop 
