B: 	ik hebben in principe een mokvormig paasding met een cirkel daartegenaan ploppen waar dan een soort tui aan zitten aan beide kant zitten 
A: 	die en hij staan op zo'n vierkant vlak 
A: 	en hij hebben een rond met een tui 
B: 	van die ruitvormig dinget het 
A: 	dan zijn dat nummer vijf 
B: 	yes 
B: 	ja 
A: 	die diamant drie diaman aan de en dan op het vierkant met het rond 
B: 	ja 
B: 	zeggen maar ruitvormig dinget toch op een plateau ja dat zijn bij J bij mij 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	ik hebben de basisvorm met een plat cirkel 
B: 	en aan weerszijde die drie klein ruit en dan staan het op een soort plateau of ja een een bodempje 
B: 	er zitten in principe de enig waarbij er aan weerszijde van de basisvorm drie klein ruit zitten 
B: 	en dan vooraan zitten een plat cirkel 
B: 	yes 
A: 	de drie diaman aan beide kant op het vierkant 
B: 	ja 
B: 	en dan een vlak cirkel toch ? ja dat zijn hetzelfde 
B: 	P 
A: 	op op het bord en de Ronje 
A: 	dat zijn nummer negen 
B: 	ik hebben degeen met de plat cirkel voor 
B: 	en dan de ruitvormig uitsteekselt aan weerszijde 
A: 	de diaman 
A: 	drie link drie rechts op het plaat 
B: 	ah 
B: 	en dan een plat cirkel voor 
B: 	yes L 
