A: 	ja 
A: 	en voorop zitten een soort vierkant 
A: 	vijfteen 
A: 	deze hebben twee steeds breder worden uitsteeksel aan de linkerkant een plaat aan de voorkant en een soort Antenne bovenop 
A: 	die vierkant steeds breder wordende dinget 
A: 	een plaat aan de voorkant en een antenne bovenop 
A: 	ja 
A: 	dertien 
A: 	ik hebben die een met de antenne bovenop de paddestoel bovenop en de plaat aan de voorkant 
B: 	deze hebben een vierkant beetje aan de voorkant beetje naar rechts toe 
B: 	en link twee van die staf met vierkant die steeds groot worden 
B: 	en ja 
B: 	ja 
B: 	soort paddenstoel ja 
A: 	ja vijfteen 
A: 	ik hebben de paddestoel aan de bovenkant en de plaat aan de voorkant 
B: 	en twee link 
B: 	ja dat zijn O 
B: 	deze hebben een vierkant rechtsvoor en een soort paddestoel er bovenop 
B: 	ja 
B: 	links ja 
B: 	G 
B: 	deze hebben een vierkant aan de voorkant en een paddenstoel er bovenop 
B: 	en 
B: 	ja 
B: 	ja 
B: 	K 
