A: 	deze hebben twee plat uitsteeksel met dezelfde vorm aan de rechterkant 
A: 	en bovenop zitten iets wat ja driehoekig zijn maar afronden zeggen 
B: 	ja 
B: 	ja dan 
B: 	ja 
B: 	zitten zo'n dinge nog bovenop 
B: 	ja 
B: 	oké 
B: 	dat zijn B 
A: 	ja dat zijn twee 
A: 	dit zijn die met dat isteken en die afgeplatte driehoek 
B: 	ja volgens mij zijn dit ja die adapter met die dat isteken in ieder geval 
B: 	hij 
B: 	ja er zitten eigenlijk een soort half piramide op met waar de bovenkant zijn af ja ja 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn met dat isteken en die afgeplatte driehoek 
B: 	ja 
B: 	M 
A: 	dat zijn zes 
B: 	ja dit zijn die adapter 
B: 	ja dat zijn F 
B: 	dit zijn de adapter 
