B: 	ja en bovenop zo'n kegel die zeggen maar waarvan de kop er af zijn snijden zo'n plat dat ding wat zo omhoog lopen met een plat bovenkant 
B: 	o en dan die staaf die er echt zo doorheen zitten 
B: 	ja ok dan zijn het K 
A: 	deze vinden ik een beetje lijken op een Superman 
A: 	omdat die zo'n dakje hebben dan linksbof 
A: 	en hij hebben een soort van ja peper en zoutvaat aan de zijkant 
A: 	ja jij met je eit 
A: 	ja 
A: 	ja 
A: 	twee eit 
A: 	ja 
B: 	ja hier hebben je weer die soort cilinder of zo die er doorheen gaan en dan dat soort plateautje met dat ding dat er achter hangen 
B: 	ja Hangsel dat het net lijken of hij omhoog en omlaag kunnen of zo 
B: 	ja ja ik zijn hem even aan het zoeken ja ja dus die met die met die cilinder waar dan ook van die bollet aan de zijkant zitten ja ja dat zijn dan F 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn die Superman met die zout en pepervaat die jij ei vinden 
B: 	ja zelfde plek 
B: 	ja hier hebben je weer die cilinder die er doorheen gaan met dat pateau dat lijken alsof het omlaag en omhoog kunnen 
B: 	ja ja 
A: 	even zoeken 
A: 	ja 
A: 	dat zijn drie 
B: 	ja 
B: 	dat zijn dan L 
A: 	dit zijn weer dat zout en peperstelsel die paaseit 
B: 	ja dit zijn diegene met die cilinder doorheen met dat plateau en met dat aanhangsel waardoor het lijken alsof je hem naar beneden kunnen trekken of zo 
B: 	ja die cilinder die dan die er doorheen gaan en aan beide kant zitten nog een soort top of bolle of zo er bovenop 
B: 	ja 
A: 	even zoeken dat zijn vijf 
