B: 	ja duidelijk 
B: 	ja 
B: 	het zijn letter L 
A: 	dit zijn diegene die linksbof een soort vierkantje hebben 
A: 	alsof die vastgeplakt zitten aan dat ander ding en dan komen er een soort wokkel en aan de ander kant zitten een plateau 
A: 	ja of een naald of wat weten ik veel zonlicht door een raam door vallen maar een raar doek 
B: 	hij hebben een Pacmannetje en dan een spijker erin 
B: 	ja met dat tafel 
A: 	ja check 
A: 	dat zijn zeven voor mij 
B: 	ja 
B: 	letter C 
A: 	dit zijn die met de ouderwets spijker aan de zijkant 
B: 	het zijn de Pacman met de spijker en het platformp 
A: 	ja 
A: 	wachten een tafel en een spijker 
A: 	ja die sorry ik denken even dat je een ander bedoelen 
A: 	waar zijn mijn spijker 
A: 	ja dat zijn één voor mij 
A: 	hebben we toen ook dit zijn die met de oud spijker links 
B: 	ja letter A 
A: 	ja 
A: 	dat zijn die de ouderwets spijker bedoelen je toch ? die 
A: 	ja dat zijn dertien voor mij 
B: 	het zijn het Pacman met een spijker 
