B: 	ja en een soort van schijf aan de rechterkant ja dat zijn L 
A: 	ja dit zijn het kop en aan de rechterkant hebben die ja een horizontaal rond schijf 
A: 	en aan de linkerkant hebben die ja een soort van achtvormig Buis staaf 
A: 	en daarop zo'n zo'n driehoek met een plat vierkant aan de ander zijde 
A: 	ja 
B: 	deze hebben zegmaar zo'n spijker in een uitstekend dat langgerekt hartje waar je het net over hebben 
A: 	ja 
A: 	ja ja 
A: 	dat zijn zeven 
B: 	even kijken 
B: 	ik kunnen hem niet vinden C 
B: 	die met dat uitstekend ding waar die spijker in zitten met dat uitgereken hartje en rechts dat rond 
A: 	dit zijn die ja met die rond schijf aan de rechterkant die plat ronde schijf en dan die staaf met die inham en dan dat 
A: 	uitlopen driehoekje met het plaat 
B: 	A 
A: 	ja die staaf met die inkeping 
A: 	ja dat zijn één 
B: 	zo'n spijker die aan dat steken hart zitten 
A: 	ja dit zijn die met die die plat rond schijf 
A: 	met die staaf met de inkeping en dat gek ding daaraan 
A: 	ja 
A: 	dat zijn dertien 
