B: 	deze hebben een soort van bol erop het zijn diegene met die bol maar dan zonder die staaf erdoor 
B: 	zeggen maar ertegenaan niet erop 
B: 	niet bovenop er 
B: 	er op de zijkant zeggen maar 
B: 	ja en nog één 
B: 	ja 
A: 	ja 
A: 	ja ook een beetje een soort van langgerekt ruit met een tuu eronder of zo 
A: 	ja 
A: 	oké dat zijn nummer veertien 
B: 	dat zijn bij mij N 
A: 	deze hebben die bol aan de voorkant en dan die rechthoek bovenop 
A: 	met nog die raar vorm daar links van en aan de linkerkant steken dat driehoekje uit dat langwerpig driehoekje zeggen maar 
B: 	die met die bol op de zijkant 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	even zoeken 
B: 	G 
B: 	dit zijn weer met die bol aan de rechterkant en die twee dinge naar boven 
B: 	nee 
B: 	J 
A: 	ik hebben nu die een met die bol aan de voorkant en dan links dat uitstekend langwerpig driehoekding en dan dat driehoektuu 
A: 	en dan weer die plat rechthoek 
A: 	even zoeken hoor 
A: 	bedoelen je weer met die uitdijen kubus aan de ruit 
A: 	ja ja met die gewoon dat dat uitstekend klein driehoekje en dan dat pluimp en die plat rechthoek zeggen maar 
A: 	ja 
A: 	nummer vijf 
A: 	dit zijn die een met dat uitstekend driehoekje aan de linkerkant bovenop dat pluimp en die rechthoek en dan die bol ervoor 
