B: 	en dan daarachter een soort van een slurf 
B: 	ja 
B: 	g 
A: 	er zitten een soort kwast in het beker en het hebben aan de rechterzijde even kijken een soort handvat wat lijken op een vierkantachtig iets 
A: 	dan aan de linkerzijde hebben het een soort armpje 
A: 	en dan aan de voorzijde veel link hebben het ook een soort kwastachtig iets wat lijken ënsorteren in de mok 
A: 	zijn het daarmee duidelijk 
A: 	ja aan de bovenzijde het lijken alsof je zeggen maar een kwast in een beker hebben laten liggen 
A: 	en dan aan de rechterzijde hebben het een soort handvat laten maar zeggen maar dan horizontaal wat op een vierkan eindigen 
A: 	aan de linkerzijde hebben het ook een soort handvat zeggen maar 
A: 	en dan aan de voorzijde hebben het zelfde vorm wat aan de bovenkant uitsteken laat maar zeggen hebben het ook aan de voorzijde een beetje link 
A: 	en dan lijken het alsof het zeggen maar in de mok zitten 
A: 	ja exact 
B: 	deze hebben twee handvaet één bovenop één aan de linkerkant 
B: 	en aan de rechterkant die vierhoek die steeds klein worden 
B: 	ja 
B: 	n 
B: 	deze hebben een handvat bovenop een handvat links en aan de rechterkant die blok die steeds klein worden 
B: 	handvat bovenop een handvat link 
B: 	en aan de rechterkant de blok die 
B: 	okee theekop ja zijn goed 
B: 	h 
A: 	even kijken een roerstaafje 
A: 	ja dus een soort twee kwast die er zeggen maar zo in zitten 
A: 	hand aan de linkerzijde en die groot blok die naar klein lopen als handvat 
A: 	ja dan zijn het nummer elf 
B: 	dit zijn de theekop 
A: 	dit zijn laat maar zeggen die twee kwast één die erin zitten en één van de zijkant 
A: 	dus laten maar zeggen die twee lepeltjes 
A: 	en met een kubus aan de rechterkant die van groot naar klein lopen 
A: 	en nog een hand aan de linkerzijde 
A: 	ja 
A: 	okee nummer vier 
A: 	de twee kwast die zeggen maar één boven één links met het soort ja die vierkant die van groot naar klein lopen en een hand link 
A: 	ja even zoeken hoor 
A: 	ja nummer dertien 
