A: 	even kijken hoor aan de linkerkant zitten er een wat zeggen je een 
A: 	die beetje naar 
A: 	die doorgaan omhoog 
A: 	daar boven zitten een piramide zonder top 
A: 	en die piramide zonder top die zitten op de 
A: 	shit 
A: 	oké en dat zitten aan de 
A: 	ven kijken 
A: 	ja 
A: 	ik denken dat ik hem hebben 
A: 	hebben 
A: 	nee wachten 
A: 	willen je nog één keer helemaal goed uitleggen 
A: 	die hebben aan een je zeggen aan de linkerkant 
A: 	helemaal omheen 
A: 	oké 
A: 	nummer vijfteen 
A: 	denken ik 
B: 	deze hebben een soort van bank aan de voorkant 
B: 	zijn een 
B: 	zien je 
B: 	er zijn niet veel 
B: 	ja 
B: 	ja en daar op dat bank zitten een het bak 
B: 	ja 
A: 	oké dit zijn een kop en ik vinden het eigenlijk hij zitten door een soort tafel heen lijken het wel met poo 
A: 	kijken ja het kop zitten door een soort vierkan heen 
A: 	en door dat vierkan dat plat vierkan waar die doorheen zitten zitten eigenlijk twee soort van poo 
A: 	soort 
A: 	ja 
A: 	soort tafel vinden ik het 
A: 	ja 
B: 	even zoeken waar die zijn 
B: 	weten ik weten wel welk je bedoelen maar 
B: 	ah ja ja dat zijn dat zijn p 
A: 	zijn dat weer helemaal diezelfde 
A: 	aan 
A: 	dat zijn denken ik die net bedoelen met dat 
A: 	na ja maken niet uit dat zijn uh , laten maar zeggen je hebben een soort twee poo 
A: 	uiteindelijk oké dat zijn nummer vijfteen weer 
A: 	oké het voor mij een tafel 
A: 	waar die kopje doorheen gaan 
A: 	met die twee poo 
A: 	oké 
B: 	deze zijn met dat bank 
B: 	bank en bak aan de voorkant 
A: 	ja waar staan de tafel 
A: 	nummer elf 
B: 	okee moeten ik even zoeken 
B: 	ah ja n 
A: 	het tafel 
A: 	met de poo 
B: 	dit zijn het bank 
B: 	ja 
B: 	dat zijn g 
