A: 	oké ja 
A: 	en zitten er een een pilaar bovenop 
A: 	oké 
A: 	ja 
A: 	ja en een soort van ja volgens mij hebben ik hem 
A: 	dertien zijn dat 
B: 	ja deze zijn een beetje compact 
B: 	aan de bovenkant hebben hij een gewoon rechthoekig staaf horizontaal 
B: 	en links ja een figuur die ik bee ja zijn een beetje rond maar 
B: 	geen bal en rechts zitten ook iets maar dat zijn ook een soort goo 
B: 	ja 
B: 	rechtop 
B: 	ja 
A: 	de bak met met de balk horizontaal er bovenop en de twee omgedraai kop aan de zijkant 
A: 	en een soort van zoiets 
A: 	aan de voorkant 
A: 	jij noemen het volgens mij net de armp 
A: 	van een 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	stok 
B: 	en een staaf bovenop horizontaal 
B: 	ja 
B: 	dat zijn G 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	zijn dat 
B: 	dit zijn weer een beetje die compact , dat er rechts een goo zijn , en links zo'n uh , ja , rond iets achtig , bovenop een horizontaal staaf 
A: 	de bak met de twee armp en met de pilaar bovenop 
B: 	ja 
B: 	staaf bovenop 
B: 	ja 
B: 	E 
A: 	ja negen 
B: 	dit zijn die compact staaf , horizontaal bovenop , goot rechts waar een pijpje bovenop staan 
A: 	met de armpjes 
B: 	ja M 
