B: 	nou ja het zijn een beetje een een vorm van een glas en dan zitten er twee blok op 
B: 	en een soort van Lvormig uitsteeksel 
B: 	een een glas met een voe 
B: 	met twee blok erop 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	armp 
A: 	ja 
A: 	dat zijn nummer vier 
A: 	dit zijn weer dat ja een soort wijnglas met de draaien poo 
B: 	ja dat zijn A 
B: 	ja 
A: 	ja 
A: 	nummer tien 
B: 	het zijn weer die een in de vorm van het glaas 
B: 	met de blok erop 
B: 	de driehoekig standaard 
B: 	gedraaide ja 
A: 	oké dit zijn het wijnglas met het gedraai poo 
B: 	ja 
B: 	L 
A: 	nummer vier 
A: 	dit zijn het wijnglas 
B: 	het glaasje met de draaien onderkant 
B: 	en het driehoekje aan de onderkant 
B: 	draaien onderkant F 
