A: 	okee 
A: 	wachten welk ? sorry horen 
A: 	ja 
A: 	ah ja ik weten al welk ja bedoelen ja 
A: 	en dan rechts zitten zeggen maar zo'n schepje en dan links zo'n soort van beker ja 
A: 	ja klpen ja 
A: 	ja dat zijn veertien zijn dat dan 
B: 	deze die zijn op zich wel lastig uit te afleggen denken ik 
B: 	maar een koffiekopje met een soort van afzuigkapneus aan de linkerkant 
B: 	bovenop zitten er een rechthoek 
B: 	ja het zijn geen vierkant object een rechthoek Bovenin 
B: 	en aan de rechterkant van het kop nou heel even goed kijken hoor want dat zijn ja een soort 
B: 	wat zullen het zijn 
B: 	nee het zijn niet niet diegene met het dienblad 
B: 	want ik weten wel welk je dan bedoelen 
B: 	ja het zijn een ander 
B: 	even denken 
B: 	hoe gaan ik dit goed uitleggen 
B: 	ja het zijn een hij komen veel in de buurt van een neus zoals wij die normaal zullen hebben zeggen maar 
B: 	het zijn veel een mensenneus dan de neus die we tot zover hebben hebben 
B: 	dus het zijn een beetje een soort van ja 
B: 	ja het zijn het zijn heel deze vinden ik best wel pittig 
B: 	ja precies 
B: 	ja 
B: 	een staafje met een soort van afvoerdinge 
B: 	ja precies ja ja dat ja 
A: 	deze zijn met dat rechthoek bovenop 
A: 	en dan rechts dat schepje en dan links die beker 
A: 	waar we het toen over hebben 
A: 	gewoon die lang rechthoek bovenop 
A: 	voorkant zitten rechts zo'n staafje met zo'n zo'n bakvormp eraan 
A: 	link zitten zeggen maar zo'n beker maar dan ondersteboven 
A: 	en dan de bovenkant 
A: 	ja zo'n rechthoekig blok ja 
B: 	ja ja 
A: 	ja vijfteen 
B: 	staan daar een rechthoekig ding bovenop 
B: 	een kap 
B: 	ja dan gaan ik voor h 
A: 	dit zijn met die met dat lang rechthoek bovenop en dat schep rechts 
A: 	en dat beker link 
B: 	o jee hier hebben we hem weer horen de stoffer en blik 
B: 	het stoffer en blik kopje met een rechthoekig object bovenin 
B: 	en een afkapdinge aan de linkerkant 
B: 	dat zijn even zoeken hè ? ja 
B: 	maar ik merken wel dat je op een geven moment dan hebben je die cue een beetje te pakken zo van ja dit hebben we zo communiceeren 
B: 	ja leuk 
A: 	ja 
A: 	maar die kunnen ik nu ook opeens ook heel moeilijk vinden 
A: 	ja achten 
B: 	ja even kijken waar zijn je waar zijn je 
B: 	ik merken dat mijn aandacht zeggen maar nu echt naar het zoeken gaan 
B: 	het zijn dit zijn c 
A: 	dit zijn weer met dat lang rechthoek bovenop 
A: 	ja 
A: 	ja klpen ja 
B: 	dit zijn de stoffer en blik met een rechthoekig figuur bovenop weer 
B: 	neusje 
B: 	where did it go ja 
B: 	dat zijn c 
