A: 	ja 
A: 	ja 
A: 	ja dat dat zien ik ook wel maar en dan hebben hij aan de bovenkant twee vierkante en een zo'n ding 
A: 	ok ja ik vinden het een beetje op een omgekeerd hond lijken of zo maar ok bij mij zijn dat vier 
A: 	ja toch 
A: 	ok ik moeten klikken toch 
B: 	het toren 
B: 	dat zijn met het dinge 
A: 	ja dit zijn die omgekeerd hond voor jou het juichen poppe 
A: 	ok bij mij achten 
B: 	ja 
B: 	dan zijn het A 
A: 	denken ik een hond ? bij iets 
A: 	even kijken je juichen poppe die die omgekeerd hond ja ja nee je hebben helemaal gelijk ja nee je hebben gelijk zijn bij mij tien 
A: 	ok 
A: 	dit zijn die omgekeerd hond juichen poppe 
A: 	ja bij mij twee 
A: 	snapen niet hoe je daar een juichen poppe in zien 
A: 	ja maar ja dat zijn natuurlijk allemaal op een geven moment dan zien je er gewoon iets in en dan blijven dat ook zo 
A: 	ja 
B: 	het toren 
A: 	even kijken waar die staan o ja zijn vier bij mij 
A: 	dit zijn de hond slash juichen poppe 
A: 	twee 
B: 	ja dat zijn L 
B: 	het toren 
B: 	ja dat zijn F 
