A: 	oké nou dit zijn zegmaar zo'n weer zo'n kop lijken of er net zegmaar iets van een lepel erin zitten 
B: 	ja ik weten hem 
B: 	I 
A: 	en er zitten zo'n ei met zo'n soort van paal erdoorheen 
A: 	zegmaar zo'n met aan de rechterkant met zo'n schijf 
B: 	ik hebben die dat hand met iets ontstopper in zijn hand 
A: 	ja 
A: 	dat zijn met dat lepel erboven ja 
A: 	ja tien 
A: 	oké 
B: 	wat zijn het ook alweer ah okee l 
B: 	ik hebben die ontstopper in de hand 
A: 	ja dit zijn weer zo'n weer zo'n ei met zo'n paal er doorheen en zo'n lepel 
A: 	boven 
B: 	ja b 
A: 	oké duidelijk negen 
B: 	de ontstopper met de hand 
A: 	en dit zijn degeen met het ei met die paal er doorheen 
A: 	oké ja dat zijn vijfteen 
