A: 	oké één zelfde haar maar een ander dinge 
A: 	daarnaast hebben die aan de rechtervoorkant een bolle erop zitten waaroverheen zo'n ijstheestampertje doorheen gaan 
A: 	ja ja ja 
A: 	bij mij zijn één 
B: 	oké nou hebben jij 
B: 	ja ja ja 
B: 	en zijn aan de ander hebben die aan de bovenkant twee dinget 
B: 	bovenop 
B: 	oké even kijken 
B: 	ja wachten zo'n toeter ja 
B: 	het zijn het zijn zeggen maar zo'n bol met zo'n staaf erdoorheen 
B: 	en dan zo'n cirkel eraan 
B: 	oké 
B: 	F 
A: 	oké dat zijn welk bij jou 
A: 	D van ? oké 
A: 	d vijf 
B: 	nu hebben ik weer die die toeter zeggen maar en dan bovenop 
B: 	ja 
A: 	ijstheestamper 
A: 	vier 
A: 	yes 
A: 	ja 
A: 	I vijf 
B: 	ja 
B: 	A 
B: 	die met die toeter weer en die dat blaad 
A: 	ijstheestamper 
A: 	zes sorry 
B: 	ja 
B: 	H 
A: 	ja 
A: 	I vijftien 
B: 	die toeter en die de appelblaadje 
