A: 	dit zijn een soort van die mok waar aan de bovenkant een soort van satelliet 
A: 	zitten dat zijn eigenlijk maken van vierkant waarbij er aan de onderkant ook nog zo'n uitsteeksel zitten 
A: 	ja 
A: 	ja 
A: 	hij lijken driehoekig maar het zijn een vierkan 
A: 	zeggen maar 
A: 	want hij zijn draaien net 
A: 	en erdoorheen lopen blok 
A: 	en aan de voorkant steken nog een een soort van neus uit 
A: 	en aan de rechterkant zitten nog een een een hoekig hengsel 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	ja en hij hebben ook zo'n soort heel dun neus 
B: 	en en dan nog aan de zijkant zo'n zelfde uitsteeksel als onderin zitten 
B: 	ok M 
A: 	even kijken horen 
A: 	ja 
A: 	verschillend 
A: 	zijn dat lijken dat een beetje op een satelliet 
A: 	of niet 
A: 	ja 
A: 	en dan komen er één als een soort van neus uit en aan de onderkant zitten nog 
A: 	ja dat zijn nummer negen hier 
B: 	deze hebben een soort ja dus inderdaad die negentig graad hoek onderin en 
B: 	en die en die soort pinoccio heel dun lang neus en bovenop zitten nog een soort vierkant met iets er doorheen 
B: 	ja een boek boek met een balk er nog doorheen H 
A: 	ja ik hebben de mok met die soort van satelliet die daar linksbof aan vastzitten maken van vierkant waarvan er 
A: 	zo'n dubbel vierkan net een kwartslag draaien zijn 
A: 	aan beide kant komen er blok uit 
A: 	en aan de onderkant zitten zo'n zo'n piele zo'n bochtig blok wat eruit steken en aan de voorkant een 
A: 	ja ja 
A: 	handig 
B: 	even kijken de drie ding met twee ding van negentig graad en boek met een ding er doorheen 
B: 	met het boek op zijn hoofd met een pilaar er bij 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	even kijken 
B: 	ja bij mij zijn hij ook links onder o D shit 
A: 	dit zijn jou koffie machine 
A: 	met die satellietvorm erboven 
B: 	boek met een spijker er doorheen 
B: 	twee keer negentig graad 
A: 	oké 
A: 	top nummer veertien 
