B: 	ja deze zijn eigenlijk best wel makkelijk deze hebben een plateau maar daar staan hij echt op helemaal onderop met twee van die ding die er uitkomen 
A: 	ja van zo'n soort spiraalding aan de zijkant en zo'n en zo'n 
A: 	ja 
A: 	zo'n rond ervoor toch 
A: 	zo'n ding 
A: 	ja 
A: 	oké dat zijn bij mij nummer vijf 
B: 	ja en dan nog dat cirkel aan de voorkant met dat ding eraan en dan nog zo'n raar uitsteeksel ja dat zijn dan J 
A: 	ik hebben nu met die spiraalding met die drie dinget aan de zijkant en zo'n bolle ervoor op zo'n plateau 
B: 	ja dit zijn weer diegene die op dat plateau staan die dinget die eruit komen en 
B: 	ja dat zijn hem 
A: 	en een rond ding ervoor op die verhoging 
A: 	dat zijn nummer elf bij mij 
B: 	door die door die ruit 
B: 	ja 
B: 	dan zijn dat P 
B: 	dit zijn dat plateau bij die ruit die die er zo uitsteken en dan hebben je nog dat cirkel voorop met een aanhangsel en nog een aanhangsel op dat plateau 
B: 	ja die doorboren worden ja 
A: 	ik hebben nu die een met die drie dinget ernaast zeggen maar 
A: 	spiraal en dat rond ding ervoor en de plaat eronder 
B: 	ja 
B: 	dat zijn dan L 
A: 	op dat plateau ja nummer negen 
A: 	dit dit zijn die drie dinget die zeggen maar die soort spiraal met dat rond ervoor en dat plateau eronder 
