B: 	ok hij zijn zeggen maar aan de onderkant rond en daarna zitten er een vierkant omheen en dan lopen hij zeggen maar weer ver 
B: 	en hij hebben aan de linkerkant ja beetje zoiets en aan de voorkant zitten een cilinder 
B: 	ja het zijn zeggen maar gewoon er zitten een vierkant om het object heen volgens mij zijn dat er maar één 
B: 	ja twee punt 
A: 	nee jij moeten wel drukken van de plek 
A: 	ja 
A: 	ja 
A: 	een soort slurf zeggen maar 
A: 	ja ja 
A: 	ja ik hebben hem 
A: 	ja 
A: 	dan zijn dat zes 
B: 	en twee punt 
B: 	ok dat zijn C 
B: 	ok ja dit zijn dat ding waar dat vierkant doorheen lopen 
B: 	ja en twee van die punt bovenop 
A: 	dit zijn dat ding met soort van twee voelsprietjes op zijn hoofd en dan een soort van een plank die hem doorboort 
A: 	en een soort slurf aan de voorkant 
A: 	ja soort voelspriet achtig iets en een soort haak aan de linkerkant 
A: 	ja dertien 
B: 	o dat vierkant dat er doorheen gaan ok 
B: 	o ja dat zijn J 
A: 	dit zijn de soort van plank erdoorheen en de slurf en twee voelsprieet bovenop 
B: 	ja dit zijn waar dat vierkant vlak doorheen lopen 
B: 	ja dat zijn N 
A: 	yes dat zijn negen 
A: 	dit zijn de de doorboring met het soort van de plank en de slurf en de voelsprieten bovenop 
