B: 	hij hebben zeggen maar van die verrekijker naar links en dan hebben die 
B: 	ja 
A: 	ah ja 
A: 	en dan zo'n zo'n vierkant vlak en een antenne op zich 
A: 	ja 
A: 	nummer twee 
B: 	ja en het vlak ervoor 
B: 	G 
B: 	dit zijn die verrekijker met die blok en dan dat vlak ervoor 
B: 	ja 
A: 	dit zijn de verrekijker 
A: 	met twee binocular zeggen maar 
A: 	ja 
B: 	D 
A: 	ja nummer negen 
B: 	dit zijn die met dat vlak aan de voorkant en twee verrekijker 
A: 	ik hebben de verrekijker met twee 
B: 	ja B 
A: 	ja 
A: 	ja nummer één 
A: 	ah ja 
A: 	de verrekijker met twee 
