A: 	ja deze hebben een soort van cirkeel plaat aan de rechterkant 
A: 	en aan de linkerkant een soort pin met ja wat zijn het een een soort schoorsteen die van smal naar dikk gaan die omhoog wijzen 
A: 	ja 
A: 	en aan de rechterkant zijn zo'n plaat die over horizontaal echt 
A: 	ja 
A: 	nummer zeven 
B: 	ja 
B: 	soort van snelwegrail 
B: 	of een kabel 
B: 	misschien wat vergezocht hoor maar 
B: 	ja nee dan denken ik dat ik hem ook wel weten 
B: 	ik gaan voor m 
A: 	ja 
A: 	dit zijn weer de schoorsteen 
A: 	ja 
B: 	dit zijn dat kop met het dienblad aan de rechterkant 
B: 	en een soort van vangrail aan de linkerkant 
B: 	en zo'n gek spijker daarin zeggen maar 
A: 	nummer twee 
A: 	de hoe heten dat nou schoorsteen 
A: 	met de plaat de die rond plaat rechts 
B: 	ja even kijken dan gaan ik voor m 
A: 	ja dat zijn twee 
B: 	dit zijn de ober met zijn dienblad 
B: 	ja heel goed 
B: 	dienblad spijker door de vangrail ja helemaal goed dat zijn voor mij l 
B: 	de ober met het tafel aan één kant en spijker door vangrail 
