B: 	ja o die hebben zeggen maar dat zelfde ding dat bovenop uitsteken steken aan de voorkant en dan zo'n ding dat langzaamaan groot worden 
B: 	ja dan zijn het E 
A: 	even kijken dit zijn er één met een soort vierkant ja een soort paar vierkant aan de voorkant aan de rechterkant ervoor 
A: 	en één zo'n staaf naar boven en één naar de zijkant en nog iets raar naar achter 
B: 	ja dit zijn weer diegene waarbij de de bovenkant dat zelfde ding uitsteken als aan de voorkant en dan zitten er daar nog 
B: 	twee ding naast met die blok die steeds groot worden en een ding dat een beetje afbuigen 
A: 	even kijken horen 
A: 	bedoelen je die een met dat soort die soort ruit erachter 
A: 	en waar die vierkant uit komen 
A: 	of bedoelen je die met die antenne 
A: 	of die staaf één staaf erboven en één staaf links ervan 
A: 	en zoiets raar aan de achterkant en die blok die naar voren uitsteken 
A: 	oké dat zijn nummer elf bij mij 
B: 	ja 
B: 	dat zijn J 
A: 	dit zijn die een met die staaf erboven en die staaf aan de linkerkant 
A: 	aan de rechterkant wat van die blok die groot worden 
B: 	dit zijn weer diegene waarbij er aan de voorkant en aan de bovenkant hetzelfde ding uitsteken de blok die die groot worden en nog een soort slurf of zo eraan 
A: 	en die staaf erboven en daarnaast 
A: 	ja dat zijn negen bij mij 
B: 	ja 
B: 	nu hebben je weer dat uitsteeksel dan bovenin en aan de voorkant eruit komen en dan hebben je nog die kronkel en die die uitgeklapt kubus 
A: 	ik hebben die een even kijken hij staan eigenlijk bij mij echt net rechtsboven bij het plaa die we net hebben 
A: 	met van die vierkant komen eruit 
A: 	en zo'n staaf erboven en zo'n staaf aan de zijkant 
A: 	vierkant komen aan de rechterkant zo naar voren die worden steeds groot zeggen maar 
A: 	ja bij mij staan die echt net boven die met die vleugel die we net hebben rechts erboven 
A: 	ja 
A: 	staaf en aan de ander kant nog een staaf 
A: 	ja 
A: 	die met die met die ruit zeggen maar erboven 
A: 	die 
A: 	en bij mij staan die helemaal linksbof ongeveer en dan zo'n pin 
A: 	en dan van die vierkant die groot worden 
A: 	bij mij nummer nummer vier zijn dat bij mij 
