B: 	en dit zijn ja zitten weer vier ding aan , dat zijn best wel vaak waaronder een ei 
B: 	aan de voorkant 
B: 	en een penseel of iets wat zitten erin 
B: 	en nog een staafje zitten erin 
B: 	en aan de linkerkant zitten nog een staafje 
B: 	dus aan de buitenkant hebben je een ei en een staaf 
B: 	oké 
A: 	ah 
A: 	een eineus 
A: 	geen verticaal lat 
A: 	ja 
A: 	ja een soort vulpen 
A: 	ah ja ik denken een omgekeerd stropdas 
A: 	zoiets 
A: 	ja dat zien ik erin 
A: 	ja dan weten ik het wel ja 
A: 	dan gaan ik voor negen 
B: 	dat zijn F 
A: 	okee 
A: 	nou dit gaan weer over het kop met het eineus 
A: 	aan de voorkant zitten een la aan de bovenkant 
A: 	omgekeerd stropdas 
A: 	en daar links nog een driehoekig uitsteeksel 
B: 	bak met aan de voorkant een ei 
B: 	en een penceel die erin liggen 
B: 	niet te verwarren met het ander kop waar ook een ei op de voorkant zitten , met de zuignap 
B: 	dat zijn hem niet 
B: 	maar de ander 
A: 	of een driehoekje 
A: 	ah die met de omgekeerd stropdas 
A: 	nummer vier 
B: 	J 
B: 	bak met penceel en nog een stok erin en een ei aan de rechterkant 
B: 	G 
A: 	dit zijn het eivormig neusje 
A: 	twee ding bovenop 
A: 	paal en omgekeerd stropdas 
A: 	en ja 
A: 	ja 
A: 	nummer elf 
A: 	eivormig neus omgekeerd stropdas 
