B: 	ja 
B: 	ja dan zijn het L 
A: 	even denken dit kop hebben aan de rechterkant een soort van Ronde schijf 
A: 	op de plat kant zeggen maar 
A: 	en dan aan de linkerkant zitten een soort van ja letter C zullen je kunnen zeggen die heel lang doorlopen en daar 
A: 	steken weer een soort van ijspegel uit recht links naar boven 
A: 	ja 
B: 	deze hebben wat jij op een spijker vinden lijken met op dat gek vormig uit en dat plateau aan de zijkant 
A: 	ja ja 
A: 	zeven 
B: 	oké 
B: 	dat zijn C 
A: 	dit zijn weer met zo'n rond schijf die uitsteken op de plat kant met de letter C en een ijspegel naar boven met vierkan 
B: 	ik hebben diegene met die spijker en dat gek vormp waar die op staat en een plateau 
B: 	oké 
B: 	ja 
B: 	dat zijn A 
A: 	dat zijn één 
B: 	ik hebben diegene met die spijker en dat gek vormpje en het plateau 
A: 	dit zijn met dat met die plat cirkel en de letter C en dan de 
A: 	ja 
A: 	dertien 
