B: 	even loeren 
B: 	ja ik noemen dat de theepot maar 
A: 	bij mij zijn het een het kop dan zeggen maar met aan de en dan komen er eigenlijk een soort van twee staf uit maar die zijn een beetje 
A: 	die zijn niet perfect rond en er zitten twee bobbel aan het uitein ik hebben het een beetje zien alsof dat een soort van als je één zullen zien alsof het een kanon zijn eigenlijk wat wat kunnen gaan schieten 
A: 	dan hebben die ook een soort van kennen je zo'n ouderwets wastobbe zeggen maar met waar je over zo'n ding heen kunnen ratsen zeggen maar 
A: 	het lijken een beetje alsof die er zo half in staat 
A: 	en aan de zijkant hebben die dus twee van die ja van die staf met van die bobbel eraan zitten 
A: 	ja 
A: 	ja 
A: 	ja inderdaad een beetje zo'n zo'n zo'n inderdaad een soort van scherm wat erin lijken te hangen of zo met een soort van staafje er nog eens achter zeggen maar ja 
A: 	oké 
B: 	wat ik beschrijf als een theepot 
B: 	weten je die nog 
B: 	ja ja 
B: 	ja 
B: 	F 
A: 	ja met die twee ding die eruit komen ja 
A: 	negen zijn dat bij mij 
B: 	ik vinden dit dus een theepot 
B: 	of een gieter 
A: 	dit zijn die een met die twee kanon met dat kanon eruit met dat wasbord 
B: 	met die armp en die bollet eraan 
A: 	wat erin afhangen 
A: 	met die twee staf zeggen maar met die boll er aan het uitein 
B: 	het lijken alsof 
B: 	ja 
B: 	het lijken alsof die aan één kant dus zeggen maar een soort van handvat hebben en dan met de ander kant zijn het een schenktuit 
A: 	ja 
A: 	ja ja ja ja ja ik noemen het het wasbord zo zeggen maar dat wastobbeidee 
A: 	dus hij zitten net een klein beetje rechts van het midden zat die 
A: 	ja 
A: 	waar staan die 
A: 	nummer drie 
B: 	ja vinden L 
B: 	gieter of theepot 
B: 	bij mij staan 
A: 	die een met het wasbord en die twee kanon die eruit komen 
A: 	staan bij mij rechtsonder in het kwadrant 
A: 	nummer vijf 
