B: 	hij staan bij mij eromheen 
B: 	even kijken horen hij hebben aan de linkerkant zo'n soort van klein rond staaf 
A: 	of 
B: 	vast aan het midden van de zijkant van het kop zeggen maar 
A: 	lepel Erbovenin 
B: 	en dan daarachter zitten zien je zeggen maar de helft van een cirkel die daaraan vastzitten 
A: 	ja en en dat ovaal ding dat zitten dan door dat rond heen 
B: 	en dan daarbovenop nog zitten zo'n soort van rond staafachtig dinget 
A: 	ja dan moeten ik het nu gewoon zeggen toch 
A: 	één 
B: 	en aan de onderkant hebben die nog soort van rond rechthoekig soort van standaard of zo 
B: 	en dat zijn eigenlijk alles wat die hebben 
B: 	oké 
B: 	dan moeten jij het nummer zeggen denken ik 
A: 	ja deze zijn één van degeen die het weinig opvlen het zijn een kop met een soort er zitten nog iets onder een soort van houdertje of zo er zitten aan de linkerkant 
A: 	komen er nog iets van een een een schroefje of een potlood of zo uit en hij hebben aan de achterkant een rond en daarboven hebben hij ook nog zo'n friebel 
A: 	kunnen je daar wat mee 
A: 	hij zijn misschien wel maar hij zijn in ieder geval de enig die ook wat aan de onderkant hebben in plaats van een bord of zo zijn het echt gewoon een soort van houder 
A: 	ja ja een soort houdertje zijn het inderdaad en dan hebben die aan dus aan de 
A: 	potlood eruit 
A: 	ja ja 
A: 	even kijken 
A: 	ja precies ja dat zijn acht 
B: 	ja 
B: 	dat zijn O 
A: 	dit zijn die een met dat potlood aan de rechterkant 
A: 	hij zitten op dat ja op dat houder en nog een lepeltje boven en een cirkel aan de achterkant 
A: 	ja 
A: 	ja even kijken waar die ah daar zijn die 
A: 	dit zijn zeven 
B: 	dit zijn die met die verbergen cirkel erachter 
B: 	en dan links hebben die soort van staaf als neus 
B: 	en dan nog een pluimp bovenop 
B: 	en daaronder nog een soort van Standaard 
A: 	dit zijn die in het houdertje zitten een potlood aan de linkerkant en ja bordje en een lepeltje 
A: 	bedanken voor u 
A: 	helemaal goed 
B: 	ja en dat staafje link 
B: 	dat zijn C 
B: 	dit zijn die met soort van staafneus aan de linkerkant en die half cirkel daarachter 
B: 	pluimp aan de bovenkant en ovaal ding aan de onderkant 
B: 	zeggen maar standaard het standaard eronder 
B: 	ja 
B: 	ja 
B: 	dat zijn C 
B: 	oké 
B: 	klaar 
B: 	het doen pijn aan mijn oor 
B: 	mogen we dit afzetten 
